,0
High52,4.52662148874845
AnnouncementReturn,3.4113534578945806
retConglomerate,2.5848614272638897
dVolPut,2.46149921038894
ChangeInRecommendation,2.2828222722947666
AnalystRevision,1.5594950689725708
IO_ShortInterest,1.415117275701601
CustomerMomentum,1.2800215890929199
CompEquIss,1.1776205359240586
iomom_cust,1.1156694628585284
DelBreadth,1.0889635171699201
EarningsStreak,0.9529548724056284
iomom_supp,0.9210310341676968
RIO_Disp,0.8435237909259796
IndRetBig,0.7371599004538052
Illiquidity,0.7317161788753113
EarningsForecastDisparity,0.7003262726546033
RIO_Turnover,0.6997783582782033
REV6,0.6884133999478826
RIO_MB,0.6775497512691945
Activism1,0.6474866969694156
Cash,0.6328034159731342
FirmAge,0.5926768103921065
Governance,0.5483135749617498
IntMom,0.5468361274488425
DolVol,0.5387918785450045
ConsRecomm,0.5154847749607576
Beta,0.49911978247964967
Activism2,0.49154312874085176
UpRecomm,0.48964197619093586
OPLeverage,0.48447080545686755
BetaTailRisk,0.45042885251575165
BookLeverage,0.4369243974918214
ChForecastAccrual,0.42364998647752516
GP,0.42249938811216087
DownRecomm,0.4206091046924721
RIO_Volatility,0.4018666206570387
AbnormalAccruals,0.39828831732359427
AgeIPO,0.3954299102478159
PriceDelayRsq,0.3924645426460011
RDS,0.36067325097115227
CitationsRD,0.3536104526271384
ChTax,0.35235003284625405
MomSeasonShort,0.33888136422729354
MS,0.33201437277804147
VolMkt,0.32774700400730605
FirmAgeMom,0.32218362667078465
EarningsConsistency,0.3201766003412698
OrgCap,0.31593074327338333
VolSD,0.31426723350353675
BrandInvest,0.3099376232414039
BidAskSpread,0.29584306578836933
MomSeason11YrPlus,0.2757119683479116
BPEBM,0.2583288368768802
MomRev,0.2513063015845102
BetaFP,0.24948631300079183
Mom12mOffSeason,0.2427835533109072
HerfAsset,0.2427648552361113
Mom12m,0.2359713172392313
ConvDebt,0.23434806579703882
PriceDelaySlope,0.2195386802622247
IndMom,0.21313364231713117
MomSeason16YrPlus,0.20298683818109756
RDAbility,0.1959967865243483
ChAssetTurnover,0.16517030649670023
MomSeason06YrPlus,0.1639225569408783
PctTotAcc,0.16314443245176952
ShareVol,0.14609584830004654
HerfBE,0.14505031508006405
MomOffSeason16YrPlus,0.14493210470207984
DelDRC,0.13039419532006075
TotalAccruals,0.129190103449637
PatentsRD,0.1235794053737696
MomSeason,0.11992953425748815
ChNWC,0.1031114840254367
DelNetFin,0.08377882603441449
