,0
High52,2.7200053383232126
VolMkt,1.1217789495681454
RIO_Turnover,0.9675039600930864
AnnouncementReturn,0.9555146652829624
BPEBM,0.8041187291093862
zerotrade6M,0.7588848268356487
InvGrowth,0.7119726314792675
DolVol,0.6264646483689071
Accruals,0.5712107674503746
DivOmit,0.5619514869490164
zerotrade1M,0.558938276363255
DelCOA,0.5587800290209592
zerotrade12M,0.5570314780059709
EarningsSurprise,0.5542258954038105
IndRetBig,0.5500168958231718
InvestPPEInv,0.5104151593708133
OrgCap,0.48899308705802175
grcapx,0.4666533406707597
AssetGrowth,0.4399378978905817
ChTax,0.4366043852267316
NumEarnIncrease,0.4181101878271366
dNoa,0.41018006448111954
NetDebtFinance,0.409095921672237
NOA,0.40833118560140763
DelEqu,0.3854769113417203
Illiquidity,0.3610115072982421
Beta,0.349500605389223
MRreversal,0.3419007616492663
ChEQ,0.3063817448311726
IndMom,0.2930758139464529
LRreversal,0.2852470813159897
hire,0.27913832541020556
PctAcc,0.2704753100557537
PriceDelaySlope,0.26399356425116505
MomSeason16YrPlus,0.26339987795238007
DebtIssuance,0.2578277191654952
DelLTI,0.2546125695402717
MomSeason11YrPlus,0.24246644558993613
PriceDelayRsq,0.24137288856008274
CompositeDebtIssuance,0.23470124360519304
BM,0.23270761288856331
ChNWC,0.22223920324027369
MeanRankRevGrowth,0.21191807855311728
RevenueSurprise,0.2105535974124355
EP,0.20366704625388163
ChInv,0.20351011543043743
BetaLiquidityPS,0.2020156161372838
cfp,0.19659221161698667
DivInit,0.19262551997782737
DelFINL,0.18926102669671957
GrLTNOA,0.18803583693938414
Investment,0.1601165896719713
AbnormalAccruals,0.15953897503492245
BetaFP,0.14589802679057856
ChNNCOA,0.12478858752953015
MomOffSeason,0.1197289899507653
CoskewACX,0.1157731003405358
ConvDebt,0.1136310477513832
EBM,0.10868058259865579
RIO_Volatility,0.10250331724773006
EarningsConsistency,0.10196804025126291
GrSaleToGrInv,0.10110116097138264
PctTotAcc,0.09890969640758335
DelNetFin,0.0963137698821617
OPLeverage,0.09316809034601237
CashProd,0.06509461370176813
Tax,0.059723043119582576
MomOffSeason16YrPlus,0.05717400388889251
HerfAsset,0.05138521451232863
CBOperProf,0.040130000120666566
TotalAccruals,0.03650689817331497
IntanSP,0.015064869430399818
PriceDelayTstat,0.011753271375001066
IntMom,0.006287936103466869
ChAssetTurnover,0.006131607288591979
Herf,-0.002344067856321869
ShareRepurchase,-0.0026418320660087312
MomOffSeason11YrPlus,-0.004963916299981955
XFIN,-0.008425786548152086
MomSeasonShort,-0.009794965323714116
tang,-0.029830930477036763
sinAlgo,-0.040555678019161774
GP,-0.04151567054748398
EarnSupBig,-0.044849888779322035
ShareIss5Y,-0.04705917233271594
CompEquIss,-0.04727942837375889
std_turn,-0.05910428158682092
VolSD,-0.06859259036759588
BidAskSpread,-0.06935409850268713
FirmAgeMom,-0.09088282994685463
TrendFactor,-0.09207948606219662
DelCOL,-0.1028295953941592
MomSeason,-0.12444242579333749
ShareIss1Y,-0.12825153140176745
MomVol,-0.13383385334469583
GrSaleToGrOverhead,-0.1365071933319042
DivSeason,-0.1374235949459799
grcapx3y,-0.13824439601504307
ChInvIA,-0.15612435188036822
Coskewness,-0.17954860076839485
BMdec,-0.18430768256661934
HerfBE,-0.18980208874815843
EquityDuration,-0.19093763190684948
PayoutYield,-0.2035094974429183
IndIPO,-0.21370648854057336
MomSeason06YrPlus,-0.21564222253304796
MomRev,-0.22945443602298743
ResidualMomentum,-0.22952706915430465
Leverage,-0.2333651774954317
MomOffSeason06YrPlus,-0.23968120016011185
BrandInvest,-0.24146098624737744
OperProfRD,-0.24636640672724525
DivYieldST,-0.2530140571785226
RoE,-0.25678095124268174
VarCF,-0.25966126974374976
BookLeverage,-0.259797313118737
IdioVolAHT,-0.260995159965555
ShareVol,-0.2844232486477473
realestate,-0.28555066631275844
betaVIX,-0.296499093792872
NetEquityFinance,-0.3048445158472512
VolumeTrend,-0.3130274668402216
NetPayoutYield,-0.3293107743181024
FirmAge,-0.33800690765349034
Mom12mOffSeason,-0.3469672872494892
SP,-0.34798978706998474
IntanCFP,-0.3539724846858564
CF,-0.3578818878089311
AM,-0.4152363170103356
NetDebtPrice,-0.45247570218814875
Mom12m,-0.46565139817012413
BetaTailRisk,-0.48005806459065664
IntanEP,-0.4805636826740306
SurpriseRD,-0.49418911350016
RD,-0.5136141450853567
RDS,-0.594573749777729
Mom6m,-0.6436604160185884
RealizedVol,-0.8040022410649165
IdioVol3F,-0.8146519004471955
EntMult,-0.8406853882969828
MaxRet,-1.5384218543003199
ReturnSkew3F,-2.0896818421785754
ReturnSkew,-2.598783384851463
