model,sharpe,type
ElasticNet,5.450582085517781,ML
Lasso,5.061135079973601,ML
PLS_linear,4.776710136781533,ML
GBR,4.754890650965094,ML
OLS,2.1351059288553387,ML
Ridge,2.121822020917848,ML
PLS_RBF,0.060636781252148754,ML
RBF+Ridge,-0.06652637099747677,ML
High52,4.52662148874845,Characteristic
AnnouncementReturn,3.4113534578945806,Characteristic
retConglomerate,2.5848614272638897,Characteristic
dVolPut,2.46149921038894,Characteristic
ChangeInRecommendation,2.2828222722947666,Characteristic
ReturnSkew3F,-4.120715150639221,Characteristic
ReturnSkew,-3.9337093738969706,Characteristic
MaxRet,-2.932299406599509,Characteristic
OptionVolume2,-2.863682516139267,Characteristic
dVolCall,-2.7163919888428296,Characteristic
