model,sharpe,type
GBR,2.917066929693561,ML
Lasso,2.9118197493223543,ML
ElasticNet,2.861667783207369,ML
Ridge,2.791331406529824,ML
OLS,2.7871075668198313,ML
PLS_linear,2.694836534972105,ML
RBF+Ridge,-0.016335714202799917,ML
PLS_RBF,-0.04826725590056648,ML
High52,2.2727984644364785,Characteristic
DivOmit,0.9999999999999999,Characteristic
AnnouncementReturn,0.9555146652829624,Characteristic
VolMkt,0.8444899469459524,Characteristic
BPEBM,0.8041187291093862,Characteristic
ReturnSkew,-2.402835438573628,Characteristic
ReturnSkew3F,-1.9905760843852534,Characteristic
MaxRet,-1.5115097694767698,Characteristic
Frontier,-1.3675819427363154,Characteristic
IntanBM,-0.9344132779967298,Characteristic
