dataset,factor,portfolio,loading
large_char,1,Leverage,0.15449748554360845
large_char,1,CF,0.15261188206101184
large_char,1,AM,0.15179822003768104
large_char,1,EntMult,0.15106889731751852
large_char,1,EP,0.1480553177222506
large_char,1,SP,0.14626325920053002
large_char,1,BMdec,0.145520846928453
large_char,1,EquityDuration,0.14107666874122596
large_char,1,DelEqu,0.13937458848564274
large_char,1,NetPayoutYield,0.13889846237629536
large_char,2,Mom12m,0.2041940656616015
large_char,2,ForecastDispersion,0.17795895300415535
large_char,2,Mom12mOffSeason,0.17534585535535352
large_char,2,Beta,-0.1734108460335482
large_char,2,Mom6m,0.17065356488428962
large_char,2,High52,0.16827734684240603
large_char,2,RealizedVol,0.16726302683918856
large_char,2,BidAskSpread,-0.16626539709274052
large_char,2,IdioVolAHT,0.15894370485554754
large_char,2,IdioVol3F,0.15785581829014617
large_char,3,dNoa,0.1800662405459462
large_char,3,SmileSlope,-0.17630710637424274
large_char,3,AssetGrowth,0.1617758570584197
large_char,3,CPVolSpread,-0.16161054512166678
large_char,3,Herf,0.1580646188628635
large_char,3,ChEQ,0.15529497040601892
large_char,3,HerfAsset,0.15012884673942137
large_char,3,grcapx3y,0.15006913992960214
large_char,3,HerfBE,0.136763813779687
large_char,3,AnnouncementReturn,0.13511360128357833
large_char,4,Illiquidity,0.26334911680410406
large_char,4,DolVol,0.2354191354276972
large_char,4,PriceDelayRsq,0.21601422562148048
large_char,4,CoskewACX,0.1885675824115624
large_char,4,VolSD,0.1688725526020573
large_char,4,FirmAge,0.16670203944209416
large_char,4,PriceDelaySlope,0.16586747442303135
large_char,4,CBOperProf,-0.1574563538141994
large_char,4,IndMom,0.15303220875948612
large_char,4,RIO_Volatility,0.15101367130018337
large_char,5,PctAcc,0.19459725918824794
large_char,5,ChAssetTurnover,-0.18597368135656567
large_char,5,realestate,0.175620098792887
large_char,5,dVolCall,-0.17344202256078778
large_char,5,ChInv,0.1717114010197342
large_char,5,dVolPut,0.17028849214850922
large_char,5,DelCOL,0.16734697165384965
large_char,5,RoE,-0.16291471352323253
large_char,5,ChNNCOA,-0.1587218776345318
large_char,5,ShareIss5Y,-0.15836042995939492
