dataset,factor,portfolio,loading
lsret,1,NetEquityFinance,0.1553482525034373
lsret,1,XFIN,0.14807299651466357
lsret,1,cfp,0.14476462669111398
lsret,1,OperProf,0.14270013435213652
lsret,1,FEPS,0.1426753107217123
lsret,1,ForecastDispersion,0.1398640583237465
lsret,1,ShareRepurchase,0.13939359681445213
lsret,1,ShareIss5Y,0.1361609469263815
lsret,1,RDcap,-0.1352377538283039
lsret,1,NetPayoutYield,0.13404247810053507
lsret,2,CashProd,0.16622822002819587
lsret,2,AM,0.16182323791272005
lsret,2,BMdec,0.16054172779736406
lsret,2,SP,0.15863178230513023
lsret,2,BM,0.15604621752758352
lsret,2,IntanBM,0.15547041603648779
lsret,2,AccrualsBM,0.15526593180131382
lsret,2,IntanEP,0.15010385358307426
lsret,2,MomOffSeason,0.1489254386438462
lsret,2,hire,0.1477246529785779
lsret,3,DelBreadth,0.160356636006083
lsret,3,Mom6mJunk,0.15998380970470114
lsret,3,MomVol,0.15199793997213631
lsret,3,ResidualMomentum,0.1438276634412101
lsret,3,FirmAgeMom,0.1433184473861863
lsret,3,MomRev,0.14312295329040597
lsret,3,NOA,0.14187921431109154
lsret,3,CredRatDG,0.13485150836292378
lsret,3,InvestPPEInv,0.13233863994294612
lsret,3,AssetGrowth,0.12969917236041922
lsret,4,DolVol,0.24512367660675283
lsret,4,zerotrade6M,0.23012120185216262
lsret,4,zerotrade12M,0.2266964856786328
lsret,4,PriceDelayRsq,0.20881821043112558
lsret,4,zerotrade1M,0.2059938032307995
lsret,4,Size,0.1955876277911257
lsret,4,PriceDelaySlope,0.19304633754498216
lsret,4,VolSD,0.18677569209623024
lsret,4,Price,0.17753432908227232
lsret,4,BidAskSpread,0.16244378720248517
lsret,5,BetaTailRisk,0.1950313874610275
lsret,5,VolMkt,-0.17912254763570573
lsret,5,Beta,0.17708202341408094
lsret,5,BetaFP,0.17247766672649864
lsret,5,RealizedVol,-0.16020046007657643
lsret,5,MaxRet,-0.15120017216731685
lsret,5,std_turn,-0.14150220297011326
lsret,5,IdioVol3F,-0.138275443260601
lsret,5,ChTax,0.1351080600022548
lsret,5,VolSD,-0.13290896271153652
