k,method,sharpe,alpha,dataset
1,Ridge,-0.30339622434239016,1000.0,large_char
1,Lasso,,0.1,large_char
2,Ridge,0.31252844939737107,1000.0,large_char
2,Lasso,,0.1,large_char
3,Ridge,0.8547277676317583,1000.0,large_char
3,Lasso,,0.1,large_char
4,Ridge,-0.09912486538571692,1000.0,large_char
4,Lasso,,0.1,large_char
5,Ridge,-0.07248350046369952,1000.0,large_char
5,Lasso,,0.1,large_char
6,Ridge,-0.10648109168705075,1000.0,large_char
6,Lasso,,0.1,large_char
7,Ridge,-0.011876135406292041,1000.0,large_char
7,Lasso,,0.1,large_char
8,Ridge,0.015290786337928968,1000.0,large_char
8,Lasso,,0.1,large_char
9,Ridge,0.021819091284595585,1000.0,large_char
9,Lasso,,0.1,large_char
10,Ridge,0.1524037194478226,1000.0,large_char
10,Lasso,,0.1,large_char
11,Ridge,0.16713356335924281,1000.0,large_char
11,Lasso,,0.1,large_char
12,Ridge,-0.06880894980450568,1000.0,large_char
12,Lasso,,0.1,large_char
13,Ridge,-0.04252396617299567,1000.0,large_char
13,Lasso,,0.1,large_char
14,Ridge,0.004623880742387043,1000.0,large_char
14,Lasso,,0.1,large_char
15,Ridge,-0.000915148826131928,1000.0,large_char
15,Lasso,,0.1,large_char
16,Ridge,-0.05648010114886781,1000.0,large_char
16,Lasso,,0.1,large_char
17,Ridge,-0.04920824157669054,1000.0,large_char
17,Lasso,,0.1,large_char
18,Ridge,-0.09370887097620836,1000.0,large_char
18,Lasso,,0.1,large_char
19,Ridge,-0.09449353207312607,1000.0,large_char
19,Lasso,,0.1,large_char
20,Ridge,-0.09351436017704676,1000.0,large_char
20,Lasso,,0.1,large_char
21,Ridge,-0.09585349427305245,1000.0,large_char
21,Lasso,,0.1,large_char
22,Ridge,-0.09809445537063596,1000.0,large_char
22,Lasso,,0.1,large_char
23,Ridge,-0.09687719382932396,1000.0,large_char
23,Lasso,,0.1,large_char
24,Ridge,-0.0945954808638368,1000.0,large_char
24,Lasso,,0.1,large_char
25,Ridge,-0.01977607436323734,1000.0,large_char
25,Lasso,,0.1,large_char
26,Ridge,-0.029882362378040397,1000.0,large_char
26,Lasso,,0.1,large_char
27,Ridge,-0.0007558254716272024,1000.0,large_char
27,Lasso,,0.1,large_char
28,Ridge,0.007645449222174972,1000.0,large_char
28,Lasso,,0.1,large_char
29,Ridge,-0.0035384846743760742,1000.0,large_char
29,Lasso,,0.1,large_char
30,Ridge,-0.010206581218440538,1000.0,large_char
30,Lasso,,0.1,large_char
31,Ridge,0.012977653115542857,1000.0,large_char
31,Lasso,,0.1,large_char
32,Ridge,0.015535227799635542,1000.0,large_char
32,Lasso,,0.1,large_char
33,Ridge,0.008674987885730793,1000.0,large_char
33,Lasso,,0.1,large_char
34,Ridge,-0.03403902178602443,1000.0,large_char
34,Lasso,,0.1,large_char
35,Ridge,-0.03508639270367802,1000.0,large_char
35,Lasso,,0.1,large_char
36,Ridge,0.01672852185456543,1000.0,large_char
36,Lasso,,0.1,large_char
37,Ridge,-0.014052863738792177,1000.0,large_char
37,Lasso,,0.1,large_char
38,Ridge,-0.003268035919204558,1000.0,large_char
38,Lasso,,0.1,large_char
39,Ridge,0.023738669877380707,1000.0,large_char
39,Lasso,,0.1,large_char
40,Ridge,0.019167972709192262,1000.0,large_char
40,Lasso,,0.1,large_char
41,Ridge,0.01916827579488206,1000.0,large_char
41,Lasso,,0.1,large_char
42,Ridge,0.061876263874484035,1000.0,large_char
42,Lasso,,0.1,large_char
43,Ridge,0.07505217810806299,1000.0,large_char
43,Lasso,,0.1,large_char
44,Ridge,0.012115007615010684,1000.0,large_char
44,Lasso,,0.1,large_char
45,Ridge,0.011035302074514728,1000.0,large_char
45,Lasso,,0.1,large_char
46,Ridge,0.005286221904473941,1000.0,large_char
46,Lasso,,0.1,large_char
47,Ridge,-0.020414211174326853,1000.0,large_char
47,Lasso,,0.1,large_char
48,Ridge,-0.041997336460321076,1000.0,large_char
48,Lasso,,0.1,large_char
49,Ridge,-0.054163984383509604,1000.0,large_char
49,Lasso,,0.1,large_char
50,Ridge,-0.049832596851160225,1000.0,large_char
50,Lasso,,0.1,large_char
