k,method,sharpe,alpha,dataset
1,Ridge,0.2904799368645981,1000.0,lsret
1,Lasso,,1.0,lsret
2,Ridge,0.32135272982742175,1000.0,lsret
2,Lasso,,1.0,lsret
3,Ridge,0.5042008618849103,1000.0,lsret
3,Lasso,,1.0,lsret
4,Ridge,-0.6057700051962038,1000.0,lsret
4,Lasso,,1.0,lsret
5,Ridge,-0.203548278436637,1000.0,lsret
5,Lasso,,1.0,lsret
6,Ridge,0.13508386241836684,1000.0,lsret
6,Lasso,,1.0,lsret
7,Ridge,0.8687305442780596,1000.0,lsret
7,Lasso,,1.0,lsret
8,Ridge,0.3771800347995685,1000.0,lsret
8,Lasso,,1.0,lsret
9,Ridge,-0.7539716733671035,1000.0,lsret
9,Lasso,,1.0,lsret
10,Ridge,0.26378454946291663,1000.0,lsret
10,Lasso,,1.0,lsret
11,Ridge,-0.6786580942877523,1000.0,lsret
11,Lasso,,1.0,lsret
12,Ridge,0.3967183583593541,1000.0,lsret
12,Lasso,,1.0,lsret
13,Ridge,0.9028539118486074,1000.0,lsret
13,Lasso,,1.0,lsret
14,Ridge,0.5779304552833345,1000.0,lsret
14,Lasso,,1.0,lsret
15,Ridge,1.1195768506210606,1000.0,lsret
15,Lasso,,1.0,lsret
16,Ridge,-0.7400575529902341,1000.0,lsret
16,Lasso,,1.0,lsret
17,Ridge,-0.4194159050945951,1000.0,lsret
17,Lasso,,1.0,lsret
18,Ridge,0.3476934626965213,1000.0,lsret
18,Lasso,,1.0,lsret
19,Ridge,0.0011312764168877605,1000.0,lsret
19,Lasso,,1.0,lsret
20,Ridge,0.8279404982469943,1000.0,lsret
20,Lasso,,1.0,lsret
21,Ridge,-0.13411214467052604,1000.0,lsret
21,Lasso,,1.0,lsret
22,Ridge,0.7424761791196446,1000.0,lsret
22,Lasso,,1.0,lsret
23,Ridge,0.30749563888346515,1000.0,lsret
23,Lasso,,1.0,lsret
24,Ridge,0.430256546626807,1000.0,lsret
24,Lasso,,1.0,lsret
25,Ridge,0.4356467339037265,1000.0,lsret
25,Lasso,,1.0,lsret
26,Ridge,0.13612789813371756,1000.0,lsret
26,Lasso,,1.0,lsret
27,Ridge,-0.6854226898915199,1000.0,lsret
27,Lasso,,1.0,lsret
28,Ridge,-0.32286324377160036,1000.0,lsret
28,Lasso,,1.0,lsret
29,Ridge,0.013396633259389706,1000.0,lsret
29,Lasso,,1.0,lsret
30,Ridge,0.5894244885376108,1000.0,lsret
30,Lasso,,1.0,lsret
31,Ridge,0.4283403754740856,1000.0,lsret
31,Lasso,,1.0,lsret
32,Ridge,0.26955630897811605,1000.0,lsret
32,Lasso,,1.0,lsret
33,Ridge,0.17246419594433124,1000.0,lsret
33,Lasso,,1.0,lsret
34,Ridge,-0.6163257382256572,1000.0,lsret
34,Lasso,,1.0,lsret
35,Ridge,0.6179801688931139,1000.0,lsret
35,Lasso,,1.0,lsret
36,Ridge,0.03277041852397289,1000.0,lsret
36,Lasso,,1.0,lsret
37,Ridge,0.7688884210823929,1000.0,lsret
37,Lasso,,1.0,lsret
38,Ridge,0.042297741786420345,1000.0,lsret
38,Lasso,,1.0,lsret
39,Ridge,0.1269501228088326,1000.0,lsret
39,Lasso,,1.0,lsret
40,Ridge,0.9973324232470309,1000.0,lsret
40,Lasso,,1.0,lsret
41,Ridge,0.48489759414314393,1000.0,lsret
41,Lasso,,1.0,lsret
42,Ridge,0.019071335587154445,1000.0,lsret
42,Lasso,,1.0,lsret
43,Ridge,0.43179099030335627,1000.0,lsret
43,Lasso,,1.0,lsret
44,Ridge,-0.7183492374115193,1000.0,lsret
44,Lasso,,1.0,lsret
45,Ridge,-0.6617642308934452,1000.0,lsret
45,Lasso,,1.0,lsret
46,Ridge,0.22568040640079917,1000.0,lsret
46,Lasso,,1.0,lsret
47,Ridge,0.031333057301035215,1000.0,lsret
47,Lasso,,1.0,lsret
48,Ridge,-0.3558138341769393,1000.0,lsret
48,Lasso,,1.0,lsret
49,Ridge,-0.2541162428091449,1000.0,lsret
49,Lasso,,1.0,lsret
50,Ridge,-0.26189960433408915,1000.0,lsret
50,Lasso,,1.0,lsret
