k,method,sharpe,alpha,dataset
1,Ridge,-4.042637046147885,1000.0,small_char
1,Lasso,,0.1,small_char
2,Ridge,3.8660441919544097,1000.0,small_char
2,Lasso,,0.1,small_char
3,Ridge,-3.1297595263404583,1000.0,small_char
3,Lasso,,0.1,small_char
4,Ridge,-3.1194825547403697,1000.0,small_char
4,Lasso,,0.1,small_char
5,Ridge,-3.530518411648901,1000.0,small_char
5,Lasso,,0.1,small_char
6,Ridge,2.3619196170715497,1000.0,small_char
6,Lasso,,0.1,small_char
7,Ridge,2.0249047975409145,1000.0,small_char
7,Lasso,,0.1,small_char
8,Ridge,3.2685654666601436,1000.0,small_char
8,Lasso,,0.1,small_char
9,Ridge,0.14786249350044922,1000.0,small_char
9,Lasso,,0.1,small_char
10,Ridge,2.7927941643863536,1000.0,small_char
10,Lasso,,0.1,small_char
11,Ridge,0.14400140498719222,1000.0,small_char
11,Lasso,,0.1,small_char
12,Ridge,1.4882060094650764,1000.0,small_char
12,Lasso,,0.1,small_char
13,Ridge,-2.768256520184886,1000.0,small_char
13,Lasso,,0.1,small_char
14,Ridge,0.6717653307491362,1000.0,small_char
14,Lasso,,0.1,small_char
15,Ridge,-5.338621227029486,1000.0,small_char
15,Lasso,,0.1,small_char
16,Ridge,0.20590139884054412,1000.0,small_char
16,Lasso,,0.1,small_char
17,Ridge,0.9850652674355912,1000.0,small_char
17,Lasso,,0.1,small_char
18,Ridge,-1.7657361919200345,1000.0,small_char
18,Lasso,,0.1,small_char
19,Ridge,-0.830022485902515,1000.0,small_char
19,Lasso,,0.1,small_char
20,Ridge,-0.21934992115688065,1000.0,small_char
20,Lasso,,0.1,small_char
21,Ridge,0.35931939875622193,1000.0,small_char
21,Lasso,,0.1,small_char
22,Ridge,-2.757668443652844,1000.0,small_char
22,Lasso,,0.1,small_char
23,Ridge,0.07985126899174372,1000.0,small_char
23,Lasso,,0.1,small_char
24,Ridge,-1.7885224161676367,1000.0,small_char
24,Lasso,,0.1,small_char
25,Ridge,-2.439466885147473,1000.0,small_char
25,Lasso,,0.1,small_char
26,Ridge,0.4876464828323316,1000.0,small_char
26,Lasso,,0.1,small_char
27,Ridge,-1.13206675748974,1000.0,small_char
27,Lasso,,0.1,small_char
28,Ridge,-1.0467735498731345,1000.0,small_char
28,Lasso,,0.1,small_char
29,Ridge,-0.5580946136756012,1000.0,small_char
29,Lasso,,0.1,small_char
30,Ridge,-1.2303766009965351,1000.0,small_char
30,Lasso,,0.1,small_char
31,Ridge,1.1649525837103736,1000.0,small_char
31,Lasso,,0.1,small_char
32,Ridge,-0.756630514092034,1000.0,small_char
32,Lasso,,0.1,small_char
33,Ridge,-3.2942379614043285,1000.0,small_char
33,Lasso,,0.1,small_char
34,Ridge,-4.196263794195849,1000.0,small_char
34,Lasso,,0.1,small_char
35,Ridge,1.7819141331492974,1000.0,small_char
35,Lasso,,0.1,small_char
36,Ridge,-0.6392680988238941,1000.0,small_char
36,Lasso,,0.1,small_char
37,Ridge,2.0052799484332673,1000.0,small_char
37,Lasso,,0.1,small_char
38,Ridge,0.6184600513031676,1000.0,small_char
38,Lasso,,0.1,small_char
39,Ridge,0.23305144415324422,1000.0,small_char
39,Lasso,,0.1,small_char
40,Ridge,1.721167313428082,1000.0,small_char
40,Lasso,,0.1,small_char
41,Ridge,-1.4326300018839897,1000.0,small_char
41,Lasso,,0.1,small_char
42,Ridge,1.1979404931303044,1000.0,small_char
42,Lasso,,0.1,small_char
43,Ridge,0.022355703221028502,1000.0,small_char
43,Lasso,,0.1,small_char
44,Ridge,0.5098312465126454,1000.0,small_char
44,Lasso,,0.1,small_char
45,Ridge,1.387457771435695,1000.0,small_char
45,Lasso,,0.1,small_char
46,Ridge,1.9404264716857083,1000.0,small_char
46,Lasso,,0.1,small_char
47,Ridge,-0.32994938622211606,1000.0,small_char
47,Lasso,,0.1,small_char
48,Ridge,-0.9004160522482133,1000.0,small_char
48,Lasso,,0.1,small_char
49,Ridge,-1.8023775834058735,1000.0,small_char
49,Lasso,,0.1,small_char
50,Ridge,0.35459430612828086,1000.0,small_char
50,Lasso,,0.1,small_char
