method,sharpe,dataset,k,alpha
Ridge (alpha=1000.0),2.2298930448505163,lsret,,
Lasso (alpha=0.1),2.0739059572097975,lsret,,
Ridge,0.2904799368645979,lsret,1.0,1000.0
Lasso,,lsret,1.0,1.0
Ridge,-0.2463323049636188,lsret,2.0,1000.0
Lasso,,lsret,2.0,1.0
Ridge,0.1993679649219182,lsret,3.0,1000.0
Lasso,,lsret,3.0,1.0
Ridge,0.3602972437137479,lsret,4.0,1000.0
Lasso,,lsret,4.0,1.0
Ridge,-0.1533547507069834,lsret,5.0,1000.0
Lasso,,lsret,5.0,1.0
Ridge,-0.2191132678141252,lsret,6.0,1000.0
Lasso,,lsret,6.0,1.0
Ridge,-0.6737179870520316,lsret,7.0,1000.0
Lasso,,lsret,7.0,1.0
Ridge,0.4310314599782127,lsret,8.0,1000.0
Lasso,,lsret,8.0,1.0
Ridge,-1.2274834056433344,lsret,9.0,1000.0
Lasso,,lsret,9.0,1.0
Ridge,-0.471025573431684,lsret,10.0,1000.0
Lasso,,lsret,10.0,1.0
Ridge,-0.0929425436696814,lsret,11.0,1000.0
Lasso,,lsret,11.0,1.0
Ridge,0.6012246180657104,lsret,12.0,1000.0
Lasso,,lsret,12.0,1.0
Ridge,-0.1974202716448971,lsret,13.0,1000.0
Lasso,,lsret,13.0,1.0
Ridge,0.4853376239293222,lsret,14.0,1000.0
Lasso,,lsret,14.0,1.0
Ridge,-0.4512716084687821,lsret,15.0,1000.0
Lasso,,lsret,15.0,1.0
Ridge,0.5563840927863,lsret,16.0,1000.0
Lasso,,lsret,16.0,1.0
Ridge,-0.4795422705018481,lsret,17.0,1000.0
Lasso,,lsret,17.0,1.0
Ridge,0.5479971938109119,lsret,18.0,1000.0
Lasso,,lsret,18.0,1.0
Ridge,0.5498372917663316,lsret,19.0,1000.0
Lasso,,lsret,19.0,1.0
Ridge,0.804769454564734,lsret,20.0,1000.0
Lasso,,lsret,20.0,1.0
Ridge,0.3316422989653578,lsret,21.0,1000.0
Lasso,,lsret,21.0,1.0
Ridge,0.1080828339948316,lsret,22.0,1000.0
Lasso,,lsret,22.0,1.0
Ridge,0.5900718650309927,lsret,23.0,1000.0
Lasso,,lsret,23.0,1.0
Ridge,0.7270405303047534,lsret,24.0,1000.0
Lasso,,lsret,24.0,1.0
Ridge,0.4214130043664073,lsret,25.0,1000.0
Lasso,,lsret,25.0,1.0
Ridge,0.7942686539572043,lsret,26.0,1000.0
Lasso,,lsret,26.0,1.0
