Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,1.3774,0.0035,1.3739,1.3787,1.3727,1199493,N.A.
16SEP2025_00:00:00.000000,,,,,,,
17:00 - 17:05,1.3738,-0.0001,1.3739,1.374,1.3738,2634,N.A.
17:05 - 17:10,1.3738,0,1.3738,1.3739,1.3738,2648,N.A.
17:10 - 17:15,1.3738,0,1.3738,1.3741,1.3738,2799,N.A.
17:15 - 17:20,1.3738,0,1.3738,1.3739,1.3738,2636,N.A.
17:20 - 17:25,1.3738,0,1.3738,1.3739,1.3738,2588,N.A.
17:25 - 17:30,1.3741,0.0003,1.3738,1.3741,1.3738,2929,N.A.
17:30 - 17:35,1.3741,0,1.3741,1.3741,1.374,2924,N.A.
17:35 - 17:40,1.3741,0,1.3741,1.3741,1.3741,3067,N.A.
17:40 - 17:45,1.3741,0,1.3741,1.3741,1.3741,2902,N.A.
17:45 - 17:50,1.3741,0,1.3741,1.3741,1.374,2892,N.A.
17:50 - 17:55,1.3741,0,1.3741,1.3742,1.3741,3191,N.A.
17:55 - 18:00,1.3741,0,1.3741,1.3741,1.374,2811,N.A.
18:00 - 18:05,1.3741,0,1.3741,1.3742,1.374,3109,N.A.
18:05 - 18:10,1.3742,0.0001,1.3741,1.3743,1.3741,2775,N.A.
18:10 - 18:15,1.3742,0,1.3742,1.3743,1.3742,2963,N.A.
18:15 - 18:20,1.3741,-0.0001,1.3742,1.3742,1.3741,2913,N.A.
18:20 - 18:25,1.3742,0.0001,1.3741,1.3742,1.3741,3278,N.A.
18:25 - 18:30,1.3742,0,1.3742,1.3742,1.3742,3065,N.A.
18:30 - 18:35,1.3742,0,1.3742,1.3743,1.3742,3200,N.A.
18:35 - 18:40,1.3742,0,1.3742,1.3742,1.3742,2936,N.A.
18:40 - 18:45,1.3742,0,1.3742,1.3742,1.3742,2774,N.A.
18:45 - 18:50,1.3743,0.0001,1.3742,1.3743,1.3742,2892,N.A.
18:50 - 18:55,1.3743,0,1.3743,1.3743,1.3743,2847,N.A.
18:55 - 19:00,1.374,-0.0003,1.3743,1.3744,1.374,3509,N.A.
19:00 - 19:05,1.3741,0.0001,1.374,1.3742,1.374,3362,N.A.
19:05 - 19:10,1.3741,0,1.3741,1.3741,1.374,2873,N.A.
19:10 - 19:15,1.374,-0.0001,1.3741,1.3741,1.374,2804,N.A.
19:15 - 19:20,1.374,0,1.374,1.374,1.374,2880,N.A.
19:20 - 19:25,1.3739,-0.0001,1.374,1.374,1.3739,3137,N.A.
19:25 - 19:30,1.374,0.0001,1.3739,1.374,1.3738,3177,N.A.
19:30 - 19:35,1.3738,-0.0002,1.374,1.374,1.3738,3246,N.A.
19:35 - 19:40,1.3738,0,1.3738,1.3738,1.3738,3654,N.A.
19:40 - 19:45,1.374,0.0002,1.3738,1.374,1.3738,3617,N.A.
19:45 - 19:50,1.374,0,1.374,1.374,1.3739,2867,N.A.
19:50 - 19:55,1.374,0,1.374,1.374,1.3739,3281,N.A.
19:55 - 20:00,1.3739,-0.0001,1.374,1.374,1.3739,3060,N.A.
20:00 - 20:05,1.3739,0,1.3739,1.3741,1.3739,3698,N.A.
20:05 - 20:10,1.374,0.0001,1.3739,1.3741,1.3739,3825,N.A.
20:10 - 20:15,1.3739,-0.0001,1.374,1.374,1.3739,3600,N.A.
20:15 - 20:20,1.3738,-0.0001,1.3739,1.3739,1.3738,3635,N.A.
20:20 - 20:25,1.3739,0.0001,1.3738,1.3739,1.3738,3423,N.A.
20:25 - 20:30,1.374,0.0001,1.3739,1.374,1.3738,3606,N.A.
20:30 - 20:35,1.374,0,1.374,1.3741,1.3739,4060,N.A.
20:35 - 20:40,1.3743,0.0003,1.374,1.3743,1.374,3873,N.A.
20:40 - 20:45,1.3744,0.0001,1.3743,1.3744,1.3742,3388,N.A.
20:45 - 20:50,1.3743,-0.0001,1.3744,1.3745,1.3743,3449,N.A.
20:50 - 20:55,1.3744,0.0001,1.3743,1.3745,1.3743,3822,N.A.
20:55 - 21:00,1.3743,-0.0001,1.3744,1.3744,1.3743,3794,N.A.
21:00 - 21:05,1.3743,0,1.3743,1.3744,1.3743,3855,N.A.
21:05 - 21:10,1.3743,0,1.3743,1.3744,1.3743,3503,N.A.
21:10 - 21:15,1.3744,0.0001,1.3743,1.3744,1.3743,3547,N.A.
21:15 - 21:20,1.3746,0.0002,1.3744,1.3747,1.3744,4055,N.A.
21:20 - 21:25,1.3746,0,1.3746,1.3746,1.3745,3970,N.A.
21:25 - 21:30,1.3747,0.0001,1.3746,1.3747,1.3745,3580,N.A.
21:30 - 21:35,1.375,0.0003,1.3747,1.375,1.3747,3633,N.A.
21:35 - 21:40,1.3749,-0.0001,1.375,1.375,1.3749,3646,N.A.
21:40 - 21:45,1.375,0.0001,1.3749,1.375,1.3749,3283,N.A.
21:45 - 21:50,1.3749,-0.0001,1.375,1.375,1.3748,3298,N.A.
21:50 - 21:55,1.3748,-0.0001,1.3749,1.3749,1.3747,3296,N.A.
21:55 - 22:00,1.3748,0,1.3748,1.3748,1.3746,3551,N.A.
22:00 - 22:05,1.3748,0,1.3748,1.3748,1.3747,3755,N.A.
22:05 - 22:10,1.3748,0,1.3748,1.3749,1.3747,3663,N.A.
22:10 - 22:15,1.3748,0,1.3748,1.3749,1.3748,3306,N.A.
22:15 - 22:20,1.3748,0,1.3748,1.3748,1.3747,3253,N.A.
22:20 - 22:25,1.3748,0,1.3748,1.3749,1.3747,3310,N.A.
22:25 - 22:30,1.3748,0,1.3748,1.3748,1.3746,3759,N.A.
22:30 - 22:35,1.375,0.0002,1.3748,1.375,1.3748,3433,N.A.
22:35 - 22:40,1.375,0,1.375,1.375,1.3749,3347,N.A.
22:40 - 22:45,1.3749,-0.0001,1.375,1.375,1.3749,3297,N.A.
22:45 - 22:50,1.375,0.0001,1.3749,1.3751,1.3749,3315,N.A.
22:50 - 22:55,1.375,0,1.375,1.3751,1.3749,3105,N.A.
22:55 - 23:00,1.375,0,1.375,1.375,1.3749,3348,N.A.
23:00 - 23:05,1.3751,0.0001,1.375,1.3751,1.3749,3794,N.A.
23:05 - 23:10,1.3751,0,1.3751,1.3751,1.375,3573,N.A.
23:10 - 23:15,1.3751,0,1.3751,1.3751,1.3751,3259,N.A.
23:15 - 23:20,1.3751,0,1.3751,1.3752,1.3751,3132,N.A.
23:20 - 23:25,1.3751,0,1.3751,1.3751,1.375,3158,N.A.
23:25 - 23:30,1.3752,0.0001,1.3751,1.3752,1.3751,3093,N.A.
23:30 - 23:35,1.3753,0.0001,1.3752,1.3753,1.3752,3224,N.A.
23:35 - 23:40,1.3754,0.0001,1.3753,1.3754,1.3753,3516,N.A.
23:40 - 23:45,1.3753,-0.0001,1.3754,1.3754,1.3752,3202,N.A.
23:45 - 23:50,1.3753,0,1.3753,1.3753,1.3752,3275,N.A.
23:50 - 23:55,1.3754,0.0001,1.3753,1.3754,1.3753,3498,N.A.
23:55 - 00:00,1.3754,0,1.3754,1.3755,1.3753,3404,N.A.
17SEP2025_00:00:00.000000,,,,,,,
00:00 - 00:05,1.3754,0,1.3754,1.3754,1.3753,3390,N.A.
00:05 - 00:10,1.3752,-0.0002,1.3754,1.3754,1.3752,3170,N.A.
00:10 - 00:15,1.3754,0.0002,1.3752,1.3754,1.3752,3704,N.A.
00:15 - 00:20,1.3753,-0.0001,1.3754,1.3754,1.3753,3208,N.A.
00:20 - 00:25,1.3752,-0.0001,1.3753,1.3753,1.3752,3502,N.A.
00:25 - 00:30,1.3752,0,1.3752,1.3752,1.3752,3298,N.A.
00:30 - 00:35,1.3753,0.0001,1.3752,1.3753,1.3752,3233,N.A.
00:35 - 00:40,1.3752,-0.0001,1.3753,1.3753,1.3752,3321,N.A.
00:40 - 00:45,1.3751,-0.0001,1.3752,1.3752,1.3751,3264,N.A.
00:45 - 00:50,1.3752,0.0001,1.3751,1.3752,1.3751,3401,N.A.
00:50 - 00:55,1.3751,-0.0001,1.3752,1.3752,1.375,3185,N.A.
00:55 - 01:00,1.3751,0,1.3751,1.3751,1.3751,3090,N.A.
01:00 - 01:05,1.3749,-0.0002,1.3751,1.3751,1.3748,3479,N.A.
01:05 - 01:10,1.3748,-0.0001,1.3749,1.3749,1.3748,3201,N.A.
01:10 - 01:15,1.375,0.0002,1.3748,1.375,1.3748,3563,N.A.
01:15 - 01:20,1.3749,-0.0001,1.375,1.375,1.3749,3602,N.A.
01:20 - 01:25,1.375,0.0001,1.3749,1.375,1.3749,3585,N.A.
01:25 - 01:30,1.375,0,1.375,1.375,1.3749,3020,N.A.
01:30 - 01:35,1.3751,0.0001,1.375,1.3751,1.3749,3650,N.A.
01:35 - 01:40,1.375,-0.0001,1.3751,1.3751,1.375,3584,N.A.
01:40 - 01:45,1.375,0,1.375,1.375,1.3749,3382,N.A.
01:45 - 01:50,1.3749,-0.0001,1.375,1.375,1.3749,3592,N.A.
01:50 - 01:55,1.3751,0.0002,1.3749,1.3751,1.3749,3488,N.A.
01:55 - 02:00,1.3751,0,1.3751,1.3752,1.375,3519,N.A.
02:00 - 02:05,1.375,-0.0001,1.3751,1.3752,1.375,4034,N.A.
02:05 - 02:10,1.3754,0.0004,1.375,1.3755,1.375,3639,N.A.
02:10 - 02:15,1.3754,0,1.3754,1.3756,1.3754,3903,N.A.
02:15 - 02:20,1.3752,-0.0002,1.3754,1.3754,1.3752,3489,N.A.
02:20 - 02:25,1.3751,-0.0001,1.3752,1.3752,1.375,3504,N.A.
02:25 - 02:30,1.3752,0.0001,1.3751,1.3752,1.3751,3338,N.A.
02:30 - 02:35,1.3755,0.0003,1.3752,1.3756,1.3752,4091,N.A.
02:35 - 02:40,1.3754,-0.0001,1.3755,1.3755,1.3753,3586,N.A.
02:40 - 02:45,1.3756,0.0002,1.3754,1.3756,1.3754,3735,N.A.
02:45 - 02:50,1.3754,-0.0002,1.3756,1.3756,1.3753,3740,N.A.
02:50 - 02:55,1.375,-0.0004,1.3754,1.3754,1.375,3746,N.A.
02:55 - 03:00,1.3751,0.0001,1.375,1.3752,1.375,4029,N.A.
03:00 - 03:05,1.3754,0.0003,1.3751,1.3755,1.3749,4784,N.A.
03:05 - 03:10,1.3752,-0.0002,1.3754,1.3755,1.3751,4380,N.A.
03:10 - 03:15,1.3759,0.0007,1.3752,1.3759,1.3752,4126,N.A.
