Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.9255,-0.0065,0.932,0.9334,0.9238,1025382,N.A.
06NOV2024_00:00:00.000000,,,,,,,
17:00 - 17:05,0.932,0,0.932,0.932,0.9316,2548,N.A.
17:05 - 17:10,0.9319,-0.0001,0.932,0.9321,0.9319,2558,N.A.
17:10 - 17:15,0.932,0.0001,0.9319,0.932,0.9319,2552,N.A.
17:15 - 17:20,0.932,0,0.932,0.932,0.9319,2498,N.A.
17:20 - 17:25,0.932,0,0.932,0.932,0.9319,2823,N.A.
17:25 - 17:30,0.932,0,0.932,0.932,0.9319,2894,N.A.
17:30 - 17:35,0.9321,0.0001,0.932,0.9321,0.932,2599,N.A.
17:35 - 17:40,0.9321,0,0.9321,0.9321,0.9321,2590,N.A.
17:40 - 17:45,0.9321,0,0.9321,0.9321,0.932,2535,N.A.
17:45 - 17:50,0.9321,0,0.9321,0.9322,0.9321,2561,N.A.
17:50 - 17:55,0.9321,0,0.9321,0.9321,0.9321,2844,N.A.
17:55 - 18:00,0.932,-0.0001,0.9321,0.9323,0.932,3058,N.A.
18:00 - 18:05,0.9317,-0.0003,0.932,0.932,0.9317,3001,N.A.
18:05 - 18:10,0.9318,0.0001,0.9317,0.9318,0.9316,2665,N.A.
18:10 - 18:15,0.9317,-0.0001,0.9318,0.9318,0.9316,2697,N.A.
18:15 - 18:20,0.9318,0.0001,0.9317,0.9318,0.9317,2791,N.A.
18:20 - 18:25,0.9318,0,0.9318,0.9319,0.9317,2913,N.A.
18:25 - 18:30,0.9318,0,0.9318,0.9319,0.9318,2925,N.A.
18:30 - 18:35,0.9319,0.0001,0.9318,0.9319,0.9318,2658,N.A.
18:35 - 18:40,0.9318,-0.0001,0.9319,0.9319,0.9318,2698,N.A.
18:40 - 18:45,0.9318,0,0.9318,0.9319,0.9318,2795,N.A.
18:45 - 18:50,0.9316,-0.0002,0.9318,0.9319,0.9316,2761,N.A.
18:50 - 18:55,0.9317,0.0001,0.9316,0.9317,0.9316,2824,N.A.
