Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.7896,-0.0033,0.7929,0.7936,0.7875,1014750,N.A.
13JUN2023_00:00:00.000000,,,,,,,
17:00 - 17:05,0.7928,-0.0001,0.7929,0.7931,0.7926,2552,N.A.
17:05 - 17:10,0.7928,0,0.7928,0.793,0.7927,2410,N.A.
17:10 - 17:15,0.7928,0,0.7928,0.7929,0.7928,2227,N.A.
17:15 - 17:20,0.7929,0.0001,0.7928,0.7929,0.7928,2321,N.A.
17:20 - 17:25,0.7929,0,0.7929,0.7929,0.7928,2264,N.A.
17:25 - 17:30,0.7928,-0.0001,0.7929,0.7929,0.7928,2496,N.A.
17:30 - 17:35,0.7928,0,0.7928,0.7929,0.7928,2350,N.A.
17:35 - 17:40,0.7928,0,0.7928,0.7929,0.7928,2219,N.A.
17:40 - 17:45,0.7929,0.0001,0.7929,0.7929,0.7928,2246,N.A.
17:45 - 17:50,0.793,0.0001,0.7929,0.793,0.7928,2327,N.A.
17:50 - 17:55,0.7929,-0.0001,0.793,0.793,0.7928,2477,N.A.
17:55 - 18:00,0.7929,0,0.7929,0.7929,0.7928,2309,N.A.
18:00 - 18:05,0.793,0.0001,0.7929,0.7931,0.7929,2567,N.A.
18:05 - 18:10,0.7929,-0.0001,0.793,0.793,0.7928,2388,N.A.
18:10 - 18:15,0.7929,0,0.7929,0.793,0.7929,2446,N.A.
18:15 - 18:20,0.7929,0,0.7929,0.7929,0.7929,2667,N.A.
18:20 - 18:25,0.793,0.0001,0.7929,0.793,0.7929,2562,N.A.
18:25 - 18:30,0.793,0,0.793,0.7931,0.7929,2695,N.A.
18:30 - 18:35,0.793,0,0.793,0.793,0.7929,2513,N.A.
18:35 - 18:40,0.793,0,0.793,0.793,0.7929,2509,N.A.
18:40 - 18:45,0.7929,-0.0001,0.793,0.793,0.7929,2452,N.A.
18:45 - 18:50,0.793,0.0001,0.7929,0.793,0.7929,2540,N.A.
18:50 - 18:55,0.793,0,0.793,0.793,0.793,2471,N.A.
18:55 - 19:00,0.793,0,0.793,0.793,0.793,2418,N.A.
19:00 - 19:05,0.793,0,0.793,0.793,0.793,2518,N.A.
19:05 - 19:10,0.7931,0.0001,0.793,0.7931,0.7929,2600,N.A.
19:10 - 19:15,0.7932,0.0001,0.7931,0.7932,0.7931,2427,N.A.
19:15 - 19:20,0.7932,0,0.7932,0.7932,0.7932,2541,N.A.
19:20 - 19:25,0.7932,0,0.7932,0.7933,0.7932,2527,N.A.
19:25 - 19:30,0.7933,0.0001,0.7932,0.7933,0.7932,2640,N.A.
19:30 - 19:35,0.7934,0.0001,0.7933,0.7934,0.7933,2484,N.A.
19:35 - 19:40,0.7934,0,0.7934,0.7934,0.7933,2668,N.A.
19:40 - 19:45,0.7933,-0.0001,0.7934,0.7934,0.7933,2598,N.A.
19:45 - 19:50,0.7933,0,0.7933,0.7933,0.7932,2669,N.A.
19:50 - 19:55,0.7933,0,0.7933,0.7933,0.7933,2633,N.A.
19:55 - 20:00,0.7932,-0.0001,0.7933,0.7933,0.7932,2669,N.A.
20:00 - 20:05,0.7934,0.0002,0.7932,0.7936,0.7932,3092,N.A.
20:05 - 20:10,0.7935,0.0001,0.7934,0.7936,0.7934,2948,N.A.
20:10 - 20:15,0.7936,0.0001,0.7935,0.7936,0.7933,3044,N.A.
20:15 - 20:20,0.7932,-0.0004,0.7936,0.7936,0.7932,3051,N.A.
20:20 - 20:25,0.7932,0,0.7932,0.7933,0.7932,2924,N.A.
20:25 - 20:30,0.7932,0,0.7932,0.7933,0.7931,2923,N.A.
20:30 - 20:35,0.7933,0.0001,0.7932,0.7934,0.7932,3025,N.A.
20:35 - 20:40,0.7933,0,0.7933,0.7934,0.7932,3008,N.A.
20:40 - 20:45,0.7931,-0.0002,0.7933,0.7933,0.7931,2928,N.A.
20:45 - 20:50,0.7932,0.0001,0.7931,0.7932,0.793,2972,N.A.
20:50 - 20:55,0.7932,0,0.7932,0.7933,0.7931,3267,N.A.
20:55 - 21:00,0.7931,-0.0001,0.7932,0.7932,0.793,3169,N.A.
21:00 - 21:05,0.793,-0.0001,0.7931,0.7931,0.7929,3392,N.A.
21:05 - 21:10,0.793,0,0.793,0.7931,0.793,2951,N.A.
21:10 - 21:15,0.7929,-0.0001,0.793,0.793,0.7929,3122,N.A.
21:15 - 21:20,0.7928,-0.0001,0.7929,0.793,0.7927,3050,N.A.
21:20 - 21:25,0.7929,0.0001,0.7928,0.7929,0.7928,3123,N.A.
21:25 - 21:30,0.7929,0,0.7929,0.7929,0.7928,2952,N.A.
21:30 - 21:35,0.7928,-0.0001,0.7929,0.793,0.7928,3070,N.A.
21:35 - 21:40,0.7927,-0.0001,0.7928,0.7928,0.7927,2893,N.A.
21:40 - 21:45,0.7929,0.0002,0.7927,0.7929,0.7927,2941,N.A.
21:45 - 21:50,0.7927,-0.0002,0.7929,0.7929,0.7927,2909,N.A.
21:50 - 21:55,0.7926,-0.0001,0.7927,0.7927,0.7925,2935,N.A.
21:55 - 22:00,0.7927,0.0001,0.7926,0.7927,0.7926,2923,N.A.
22:00 - 22:05,0.7929,0.0002,0.7927,0.7929,0.7927,3178,N.A.
22:05 - 22:10,0.7929,0,0.7929,0.793,0.7928,3051,N.A.
22:10 - 22:15,0.7928,-0.0001,0.7929,0.793,0.7928,2824,N.A.
22:15 - 22:20,0.7929,0.0001,0.7928,0.7929,0.7928,2844,N.A.
22:20 - 22:25,0.7928,-0.0001,0.7929,0.7929,0.7927,2751,N.A.
22:25 - 22:30,0.7927,-0.0001,0.7928,0.7928,0.7927,2895,N.A.
22:30 - 22:35,0.7927,0,0.7927,0.7927,0.7926,2868,N.A.
22:35 - 22:40,0.7927,0,0.7927,0.7928,0.7927,2866,N.A.
22:40 - 22:45,0.7928,0.0001,0.7927,0.7928,0.7927,2794,N.A.
22:45 - 22:50,0.7928,0,0.7928,0.7929,0.7927,2866,N.A.
22:50 - 22:55,0.7928,0,0.7928,0.7929,0.7927,2876,N.A.
22:55 - 23:00,0.7927,-0.0001,0.7928,0.7928,0.7927,3002,N.A.
23:00 - 23:05,0.7928,0.0001,0.7927,0.7928,0.7927,3011,N.A.
23:05 - 23:10,0.7928,0,0.7928,0.7928,0.7927,2877,N.A.
23:10 - 23:15,0.7927,-0.0001,0.7928,0.7928,0.7927,2729,N.A.
23:15 - 23:20,0.7927,0,0.7927,0.7928,0.7927,2703,N.A.
23:20 - 23:25,0.7927,0,0.7927,0.7928,0.7927,2676,N.A.
23:25 - 23:30,0.7927,0,0.7927,0.7927,0.7927,2715,N.A.
23:30 - 23:35,0.7927,0,0.7927,0.7927,0.7927,2658,N.A.
23:35 - 23:40,0.7928,0.0001,0.7927,0.7929,0.7927,2799,N.A.
23:40 - 23:45,0.7928,0,0.7928,0.7929,0.7928,2899,N.A.
23:45 - 23:50,0.7928,0,0.7928,0.7929,0.7928,2767,N.A.
