Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,114.01,0.05,113.96,114.22,113.72,960429,N.A.
02NOV2021_00:00:00.000000,,,,,,,
17:00 - 17:05,113.98,0.02,113.96,113.99,113.95,2281,N.A.
17:05 - 17:10,113.94,-0.04,113.98,113.98,113.93,2939,N.A.
17:10 - 17:15,113.96,0.02,113.94,113.97,113.94,3362,N.A.
17:15 - 17:20,113.95,-0.01,113.96,113.96,113.95,3153,N.A.
17:20 - 17:25,113.96,0.01,113.95,113.96,113.95,2398,N.A.
17:25 - 17:30,113.96,0,113.96,113.96,113.96,2603,N.A.
17:30 - 17:35,113.96,0,113.96,113.96,113.96,4415,N.A.
17:35 - 17:40,113.96,0,113.96,113.96,113.96,4030,N.A.
17:40 - 17:45,113.96,0,113.96,113.96,113.96,3044,N.A.
17:45 - 17:50,113.96,0,113.96,113.96,113.96,3334,N.A.
17:50 - 17:55,113.96,0,113.96,113.96,113.96,3443,N.A.
17:55 - 18:00,113.95,-0.01,113.96,113.96,113.95,3566,N.A.
18:00 - 18:05,113.97,0.02,113.95,113.98,113.95,4373,N.A.
18:05 - 18:10,113.97,0,113.97,113.97,113.96,3157,N.A.
18:10 - 18:15,113.97,0,113.97,113.97,113.96,2724,N.A.
18:15 - 18:20,113.95,-0.02,113.97,113.97,113.95,2871,N.A.
18:20 - 18:25,113.95,0,113.95,113.95,113.95,2954,N.A.
18:25 - 18:30,113.95,0,113.95,113.95,113.95,2915,N.A.
18:30 - 18:35,113.98,0.03,113.95,113.98,113.95,2989,N.A.
18:35 - 18:40,113.99,0.01,113.98,113.99,113.97,2953,N.A.
18:40 - 18:45,114,0.01,113.99,114,113.99,2688,N.A.
18:45 - 18:50,113.99,-0.01,114,114,113.99,2647,N.A.
18:50 - 18:55,113.97,-0.02,113.99,113.99,113.97,2563,N.A.
18:55 - 19:00,113.97,0,113.97,113.97,113.97,2543,N.A.
19:00 - 19:05,113.98,0.01,113.97,113.98,113.97,2681,N.A.
19:05 - 19:10,113.98,0,113.98,113.98,113.97,2753,N.A.
19:10 - 19:15,114.01,0.03,113.98,114.01,113.98,2767,N.A.
19:15 - 19:20,114,-0.01,114.01,114.01,114,2889,N.A.
19:20 - 19:25,113.98,-0.02,114,114,113.98,2605,N.A.
19:25 - 19:30,113.99,0.01,113.98,113.99,113.98,2548,N.A.
19:30 - 19:35,114,0.01,113.99,114,113.99,2570,N.A.
19:35 - 19:40,113.99,-0.01,114,114,113.99,2676,N.A.
19:40 - 19:45,113.98,-0.01,113.99,113.99,113.98,2645,N.A.
19:45 - 19:50,113.97,-0.01,113.98,113.98,113.97,2634,N.A.
19:50 - 19:55,113.96,-0.01,113.97,113.97,113.96,2606,N.A.
19:55 - 20:00,113.97,0.01,113.96,113.97,113.96,2659,N.A.
20:00 - 20:05,113.95,-0.02,113.97,113.97,113.95,2750,N.A.
20:05 - 20:10,113.91,-0.04,113.95,113.95,113.91,2897,N.A.
20:10 - 20:15,113.93,0.02,113.91,113.93,113.91,2656,N.A.
20:15 - 20:20,113.94,0.01,113.93,113.94,113.91,2791,N.A.
20:20 - 20:25,113.97,0.03,113.94,113.97,113.94,2770,N.A.
20:25 - 20:30,113.96,-0.01,113.97,113.97,113.95,2831,N.A.
20:30 - 20:35,113.96,0,113.96,113.97,113.95,2775,N.A.
20:35 - 20:40,113.92,-0.04,113.96,113.96,113.92,2964,N.A.
20:40 - 20:45,113.92,0,113.92,113.92,113.89,3144,N.A.
20:45 - 20:50,113.89,-0.03,113.92,113.92,113.89,2803,N.A.
20:50 - 20:55,113.89,0,113.89,113.91,113.88,2800,N.A.
20:55 - 21:00,113.87,-0.02,113.89,113.89,113.86,2849,N.A.
21:00 - 21:05,113.87,0,113.87,113.88,113.84,3307,N.A.
21:05 - 21:10,113.86,-0.01,113.87,113.88,113.85,2928,N.A.
21:10 - 21:15,113.88,0.02,113.86,113.88,113.85,2793,N.A.
21:15 - 21:20,113.87,-0.01,113.88,113.89,113.87,2915,N.A.
21:20 - 21:25,113.88,0.01,113.87,113.88,113.86,3185,N.A.
21:25 - 21:30,113.88,0,113.88,113.89,113.87,2926,N.A.
21:30 - 21:35,113.88,0,113.88,113.88,113.88,2736,N.A.
21:35 - 21:40,113.93,0.05,113.88,113.93,113.88,2992,N.A.
21:40 - 21:45,113.89,-0.04,113.93,113.93,113.89,3043,N.A.
21:45 - 21:50,113.92,0.03,113.89,113.92,113.89,2991,N.A.
21:50 - 21:55,113.9,-0.02,113.92,113.93,113.9,2855,N.A.
21:55 - 22:00,113.88,-0.02,113.9,113.91,113.88,3022,N.A.
22:00 - 22:05,113.89,0.01,113.88,113.89,113.88,3042,N.A.
22:05 - 22:10,113.89,0,113.89,113.89,113.88,2962,N.A.
22:10 - 22:15,113.88,-0.01,113.89,113.89,113.88,2820,N.A.
22:15 - 22:20,113.88,0,113.88,113.88,113.88,2758,N.A.
22:20 - 22:25,113.88,0,113.88,113.89,113.88,2657,N.A.
22:25 - 22:30,113.88,0,113.88,113.88,113.88,2544,N.A.
22:30 - 22:35,113.88,0,113.88,113.89,113.88,2736,N.A.
22:35 - 22:40,113.87,-0.01,113.88,113.88,113.87,2662,N.A.
22:40 - 22:45,113.86,-0.01,113.87,113.87,113.86,2604,N.A.
22:45 - 22:50,113.86,0,113.86,113.86,113.86,2611,N.A.
22:50 - 22:55,113.86,0,113.86,113.87,113.86,2908,N.A.
22:55 - 23:00,113.86,0,113.86,113.86,113.85,2791,N.A.
23:00 - 23:05,113.8,-0.06,113.86,113.86,113.8,3101,N.A.
23:05 - 23:10,113.79,-0.01,113.8,113.8,113.79,2868,N.A.
