Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,5618.26,-16.32,5641.68,5689.75,5615.08,24600,N.A.
18SEP2024_00:00:00.000000,,,,,,,
09:30 - 09:35,5632.74,-1.84,5641.68,5642.84,5631.9,300,N.A.
09:35 - 09:40,5634.91,2.17,5632.78,5635.1,5631.48,300,N.A.
09:40 - 09:45,5637.22,2.31,5634.89,5638.99,5634.75,300,N.A.
09:45 - 09:50,5635.12,-2.1,5637.31,5638.34,5633.83,300,N.A.
09:50 - 09:55,5633.2,-1.92,5635.15,5636.14,5630.55,300,N.A.
09:55 - 10:00,5635.22,2.02,5632.99,5635.22,5631.76,300,N.A.
10:00 - 10:05,5636.91,1.69,5634.84,5637.93,5633.9,300,N.A.
10:05 - 10:10,5634.33,-2.58,5636.99,5637.97,5632.08,300,N.A.
10:10 - 10:15,5632.68,-1.65,5634.32,5634.73,5627.01,300,N.A.
10:15 - 10:20,5630.19,-2.49,5632.46,5635.97,5629.65,300,N.A.
10:20 - 10:25,5630.52,0.33,5630.25,5631.31,5628.21,300,N.A.
10:25 - 10:30,5636.44,5.92,5630.14,5636.44,5629.09,300,N.A.
10:30 - 10:35,5630.19,-6.25,5636.1,5636.67,5629.86,300,N.A.
10:35 - 10:40,5633.22,3.03,5630.22,5633.81,5629.18,300,N.A.
10:40 - 10:45,5637.06,3.84,5633.13,5638.49,5632.64,300,N.A.
10:45 - 10:50,5636.06,-1,5637.27,5638.36,5635.48,300,N.A.
10:50 - 10:55,5634.88,-1.18,5635.97,5636.07,5632.33,300,N.A.
10:55 - 11:00,5633.04,-1.84,5634.8,5635.35,5631.92,300,N.A.
11:00 - 11:05,5635.04,2,5633.23,5635.7,5632.78,300,N.A.
11:05 - 11:10,5633.29,-1.75,5635.16,5636.17,5632.37,300,N.A.
11:10 - 11:15,5632.23,-1.06,5633.13,5633.13,5630.07,300,N.A.
11:15 - 11:20,5631.48,-0.75,5632.22,5632.26,5630.02,300,N.A.
11:20 - 11:25,5628.73,-2.75,5631.51,5631.73,5628.37,300,N.A.
11:25 - 11:30,5632.44,3.71,5628.83,5632.82,5627.51,300,N.A.
11:30 - 11:35,5628.4,-4.04,5632.42,5632.42,5627.13,300,N.A.
11:35 - 11:40,5627.7,-0.7,5628.51,5630.14,5627.36,300,N.A.
11:40 - 11:45,5625.71,-1.99,5627.61,5627.91,5625.28,300,N.A.
11:45 - 11:50,5622.12,-3.59,5625.69,5626.12,5620.69,300,N.A.
11:50 - 11:55,5623.16,1.04,5622.1,5624.32,5621.22,300,N.A.
11:55 - 12:00,5621.63,-1.53,5623.18,5624.67,5621.4,300,N.A.
12:00 - 12:05,5619.1,-2.53,5620.16,5623.02,5618.47,300,N.A.
12:05 - 12:10,5622.82,3.72,5619.12,5622.94,5619.02,300,N.A.
12:10 - 12:15,5628.29,5.47,5622.78,5628.34,5622.78,300,N.A.
12:15 - 12:20,5630.57,2.28,5628.21,5631.49,5627.87,300,N.A.
12:20 - 12:25,5631.38,0.81,5630.6,5632.46,5630.44,300,N.A.
12:25 - 12:30,5635.1,3.72,5631.35,5635.7,5631.13,300,N.A.
12:30 - 12:35,5635.08,-0.02,5635.18,5635.8,5634.28,300,N.A.
12:35 - 12:40,5635.49,0.41,5634.98,5636.43,5634.56,300,N.A.
12:40 - 12:45,5635.43,-0.06,5635.53,5636.14,5633.15,300,N.A.
12:45 - 12:50,5636.91,1.48,5635.44,5637.59,5634.9,300,N.A.
12:50 - 12:55,5639.64,2.73,5636.94,5640.01,5636.94,300,N.A.
12:55 - 13:00,5641.16,1.52,5639.52,5642.06,5639.5,300,N.A.
13:00 - 13:05,5640.74,-0.42,5641.24,5641.65,5640.02,300,N.A.
13:05 - 13:10,5640.23,-0.51,5640.73,5641.34,5639.47,300,N.A.
13:10 - 13:15,5640.53,0.3,5640.14,5641.57,5640.08,300,N.A.
