Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,2.9344,-0.0368,2.9793,3.0067,2.8974,31474,N.A.
04MAY2022_00:00:00.000000,,,,,,,
02:00 - 02:05,2.9969,0.0257,2.9793,2.9969,2.9793,164,N.A.
02:05 - 02:10,2.993,-0.0039,2.9969,2.9969,2.9911,167,N.A.
02:10 - 02:15,2.9969,0.0039,2.993,2.9969,2.9911,171,N.A.
02:15 - 02:20,2.9911,-0.0058,2.9969,2.9969,2.9911,180,N.A.
02:20 - 02:25,2.993,0.0019,2.9911,2.995,2.9891,156,N.A.
02:25 - 02:30,2.9871,-0.0059,2.993,2.993,2.9871,175,N.A.
02:30 - 02:35,2.9852,-0.0019,2.9871,2.9891,2.9852,170,N.A.
02:35 - 02:40,2.9852,0,2.9852,2.9871,2.9832,175,N.A.
02:40 - 02:45,2.9773,-0.0079,2.9832,2.9832,2.9773,178,N.A.
02:45 - 02:50,2.9715,-0.0058,2.9773,2.9793,2.9715,177,N.A.
02:50 - 02:55,2.9715,0,2.9734,2.9734,2.9695,173,N.A.
02:55 - 03:00,2.9656,-0.0059,2.9715,2.9715,2.9637,178,N.A.
03:00 - 03:05,2.9676,0.002,2.9637,2.9676,2.9637,173,N.A.
03:05 - 03:10,2.9715,0.0039,2.9676,2.9715,2.9676,178,N.A.
03:10 - 03:15,2.9715,0,2.9715,2.9754,2.9715,177,N.A.
03:15 - 03:20,2.9754,0.0039,2.9715,2.9793,2.9715,177,N.A.
03:20 - 03:25,2.9676,-0.0078,2.9754,2.9754,2.9676,177,N.A.
03:25 - 03:30,2.9637,-0.0039,2.9676,2.9695,2.9617,181,N.A.
03:30 - 03:35,2.9656,0.0019,2.9637,2.9676,2.9617,178,N.A.
03:35 - 03:40,2.9715,0.0059,2.9656,2.9715,2.9656,169,N.A.
03:40 - 03:45,2.9793,0.0078,2.9715,2.9793,2.9715,175,N.A.
03:45 - 03:50,2.9754,-0.0039,2.9793,2.9813,2.9734,175,N.A.
03:50 - 03:55,2.9715,-0.0039,2.9754,2.9773,2.9715,179,N.A.
03:55 - 04:00,2.9734,0.0019,2.9715,2.9754,2.9695,173,N.A.
04:00 - 04:05,2.9656,-0.0078,2.9734,2.9734,2.9656,175,N.A.
04:05 - 04:10,2.9637,-0.0019,2.9656,2.9676,2.9637,180,N.A.
04:10 - 04:15,2.9656,0.0019,2.9637,2.9695,2.9637,175,N.A.
04:15 - 04:20,2.9656,0,2.9656,2.9676,2.9637,184,N.A.
04:20 - 04:25,2.9637,-0.0019,2.9656,2.9656,2.9637,173,N.A.
04:25 - 04:30,2.9695,0.0058,2.9637,2.9715,2.9637,177,N.A.
04:30 - 04:35,2.9676,-0.0019,2.9695,2.9715,2.9676,170,N.A.
04:35 - 04:40,2.9695,0.0019,2.9676,2.9715,2.9676,175,N.A.
04:40 - 04:45,2.9656,-0.0039,2.9695,2.9695,2.9656,182,N.A.
04:45 - 04:50,2.9617,-0.0039,2.9676,2.9676,2.9617,183,N.A.
04:50 - 04:55,2.9597,-0.002,2.9617,2.9617,2.9597,183,N.A.
04:55 - 05:00,2.9597,0,2.9597,2.9597,2.9578,166,N.A.
05:00 - 05:05,2.9617,0.002,2.9597,2.9637,2.9597,176,N.A.
05:05 - 05:10,2.9637,0.002,2.9617,2.9637,2.9617,171,N.A.
05:10 - 05:15,2.9637,0,2.9637,2.9656,2.9617,177,N.A.
05:15 - 05:20,2.9676,0.0039,2.9637,2.9676,2.9637,170,N.A.
05:20 - 05:25,2.9676,0,2.9656,2.9695,2.9656,175,N.A.
05:25 - 05:30,2.9676,0,2.9676,2.9695,2.9656,187,N.A.
05:30 - 05:35,2.9656,-0.002,2.9676,2.9695,2.9656,161,N.A.
05:35 - 05:40,2.9637,-0.0019,2.9676,2.9676,2.9637,161,N.A.
05:40 - 05:45,2.9617,-0.002,2.9637,2.9637,2.9617,154,N.A.
05:45 - 05:50,2.9578,-0.0039,2.9617,2.9617,2.9558,157,N.A.
05:50 - 05:55,2.9539,-0.0039,2.9558,2.9578,2.9539,167,N.A.
05:55 - 06:00,2.9519,-0.002,2.9539,2.9539,2.95,183,N.A.
06:00 - 06:05,2.9519,0,2.9519,2.9539,2.95,171,N.A.
06:05 - 06:10,2.9539,0.002,2.9519,2.9539,2.95,148,N.A.
06:10 - 06:15,2.9519,-0.002,2.9539,2.9558,2.9519,166,N.A.
06:15 - 06:20,2.9519,0,2.9519,2.9539,2.95,171,N.A.
06:20 - 06:25,2.9519,0,2.9519,2.9519,2.95,172,N.A.
06:25 - 06:30,2.9519,0,2.9519,2.9519,2.95,176,N.A.
06:30 - 06:35,2.9519,0,2.9519,2.9539,2.9519,164,N.A.
06:35 - 06:40,2.95,-0.0019,2.9519,2.9519,2.9461,150,N.A.
06:40 - 06:45,2.9519,0.0019,2.95,2.9519,2.95,161,N.A.
06:45 - 06:50,2.9519,0,2.9519,2.9539,2.95,174,N.A.
06:50 - 06:55,2.9519,0,2.9519,2.9539,2.9519,155,N.A.
06:55 - 07:00,2.9539,0.002,2.9519,2.9558,2.95,161,N.A.
07:00 - 07:05,2.9558,0.0019,2.9539,2.9578,2.9539,180,N.A.
07:05 - 07:10,2.9539,-0.0019,2.9558,2.9578,2.9539,172,N.A.
07:10 - 07:15,2.95,-0.0039,2.9539,2.9539,2.95,166,N.A.
07:15 - 07:20,2.9558,0.0058,2.95,2.9558,2.95,174,N.A.
07:20 - 07:25,2.9558,0,2.9558,2.9578,2.9539,174,N.A.
07:25 - 07:30,2.9597,0.0039,2.9558,2.9597,2.9558,170,N.A.
07:30 - 07:35,2.9578,-0.0019,2.9597,2.9617,2.9578,177,N.A.
07:35 - 07:40,2.9558,-0.002,2.9578,2.9578,2.9539,168,N.A.
07:40 - 07:45,2.9519,-0.0039,2.9558,2.9578,2.9519,180,N.A.
07:45 - 07:50,2.9539,0.002,2.9519,2.9539,2.95,172,N.A.
07:50 - 07:55,2.9558,0.0019,2.9539,2.9578,2.9539,177,N.A.
07:55 - 08:00,2.9597,0.0039,2.9558,2.9637,2.9558,167,N.A.
08:00 - 08:05,2.9539,-0.0058,2.9597,2.9617,2.9539,177,N.A.
08:05 - 08:10,2.9578,0.0039,2.9539,2.9637,2.9539,170,N.A.
08:10 - 08:15,2.9597,0.0019,2.9597,2.9617,2.9578,176,N.A.
08:15 - 08:20,2.9578,-0.0019,2.9578,2.9617,2.9519,177,N.A.
08:20 - 08:25,2.9734,0.0156,2.9597,2.9793,2.9597,172,N.A.
08:25 - 08:30,2.9656,-0.0078,2.9734,2.9773,2.9656,178,N.A.
08:30 - 08:35,2.9695,0.0039,2.9656,2.9695,2.9558,176,N.A.
08:35 - 08:40,2.9539,-0.0156,2.9695,2.9695,2.9539,183,N.A.
08:40 - 08:45,2.9558,0.0019,2.9539,2.9637,2.9519,180,N.A.
08:45 - 08:50,2.9715,0.0157,2.9597,2.9715,2.9578,176,N.A.
08:50 - 08:55,2.9656,-0.0059,2.9715,2.9754,2.9656,185,N.A.
08:55 - 09:00,2.9695,0.0039,2.9656,2.9695,2.9617,180,N.A.
09:00 - 09:05,2.9597,-0.0098,2.9695,2.9695,2.9597,178,N.A.
09:05 - 09:10,2.9695,0.0098,2.9597,2.9695,2.9597,186,N.A.
09:10 - 09:15,2.9793,0.0098,2.9695,2.9832,2.9676,166,N.A.
09:15 - 09:20,2.9832,0.0039,2.9793,2.9832,2.9754,179,N.A.
09:20 - 09:25,2.9813,-0.0019,2.9852,2.9852,2.9793,174,N.A.
09:25 - 09:30,2.9832,0.0019,2.9813,2.9832,2.9773,179,N.A.
09:30 - 09:35,2.9969,0.0137,2.9832,2.9969,2.9813,180,N.A.
09:35 - 09:40,3.0048,0.0079,2.9969,3.0048,2.9969,175,N.A.
09:40 - 09:45,2.9989,-0.0059,3.0028,3.0028,2.995,179,N.A.
09:45 - 09:50,2.9989,0,2.9989,3.0048,2.9891,179,N.A.
09:50 - 09:55,3.0028,0.0039,2.9989,3.0067,2.9989,172,N.A.
09:55 - 10:00,2.995,-0.0078,3.0028,3.0028,2.9911,174,N.A.
10:00 - 10:05,2.9969,0.0019,3.0009,3.0009,2.995,175,N.A.
10:05 - 10:10,3.0009,0.004,2.9989,3.0009,2.995,180,N.A.
10:10 - 10:15,3.0067,0.0058,3.0028,3.0067,3.0009,169,N.A.
10:15 - 10:20,2.9911,-0.0156,3.0048,3.0048,2.9911,174,N.A.
10:20 - 10:25,3.0009,0.0098,2.9911,3.0028,2.9911,162,N.A.
10:25 - 10:30,3.0009,0,3.0009,3.0048,2.9989,178,N.A.
10:30 - 10:35,2.9969,-0.004,3.0009,3.0048,2.9969,168,N.A.
10:35 - 10:40,2.9911,-0.0058,2.9969,2.9969,2.9891,171,N.A.
10:40 - 10:45,2.9852,-0.0059,2.9911,2.9911,2.9852,173,N.A.
10:45 - 10:50,2.9891,0.0039,2.9852,2.9911,2.9852,177,N.A.
10:50 - 10:55,2.9911,0.002,2.9891,2.9969,2.9891,174,N.A.
10:55 - 11:00,2.9871,-0.004,2.9911,2.9911,2.9832,164,N.A.
11:00 - 11:05,2.9852,-0.0019,2.9871,2.9871,2.9852,182,N.A.
11:05 - 11:10,2.9832,-0.002,2.9871,2.9871,2.9813,165,N.A.
11:10 - 11:15,2.9793,-0.0039,2.9832,2.9852,2.9793,172,N.A.
11:15 - 11:20,2.9754,-0.0039,2.9793,2.9793,2.9715,178,N.A.
11:20 - 11:25,2.9832,0.0078,2.9754,2.9832,2.9734,177,N.A.
11:25 - 11:30,2.9773,-0.0059,2.9832,2.9852,2.9773,168,N.A.
11:30 - 11:35,2.9715,-0.0058,2.9773,2.9793,2.9695,181,N.A.
11:35 - 11:40,2.9715,0,2.9715,2.9754,2.9676,174,N.A.
11:40 - 11:45,2.9773,0.0058,2.9715,2.9773,2.9715,168,N.A.
11:45 - 11:50,2.9734,-0.0039,2.9773,2.9773,2.9715,174,N.A.
11:50 - 11:55,2.9715,-0.0019,2.9734,2.9734,2.9676,170,N.A.
11:55 - 12:00,2.9734,0.0019,2.9715,2.9734,2.9695,182,N.A.
12:00 - 12:05,2.9773,0.0039,2.9734,2.9773,2.9734,177,N.A.
12:05 - 12:10,2.9813,0.004,2.9773,2.9813,2.9754,174,N.A.
12:10 - 12:15,2.9734,-0.0079,2.9813,2.9813,2.9734,180,N.A.
12:15 - 12:20,2.9734,0,2.9734,2.9773,2.9734,179,N.A.
12:20 - 12:25,2.9773,0.0039,2.9734,2.9793,2.9695,184,N.A.
12:25 - 12:30,2.9793,0.002,2.9773,2.9793,2.9773,180,N.A.
12:30 - 12:35,2.9832,0.0039,2.9793,2.9832,2.9773,170,N.A.
12:35 - 12:40,2.9852,0.002,2.9832,2.9852,2.9813,170,N.A.
12:40 - 12:45,2.9871,0.0019,2.9852,2.9871,2.9832,170,N.A.
12:45 - 12:50,2.9852,-0.0019,2.9871,2.9891,2.9832,173,N.A.
12:50 - 12:55,2.9891,0.0039,2.9852,2.9891,2.9852,179,N.A.
12:55 - 13:00,2.9832,-0.0059,2.9891,2.9891,2.9832,174,N.A.
13:00 - 13:05,2.9793,-0.0039,2.9832,2.9852,2.9793,178,N.A.
13:05 - 13:10,2.9832,0.0039,2.9793,2.9832,2.9793,177,N.A.
13:10 - 13:15,2.9871,0.0039,2.9832,2.9911,2.9813,169,N.A.
13:15 - 13:20,2.9871,0,2.9871,2.9871,2.9832,175,N.A.
13:20 - 13:25,2.9832,-0.0039,2.9871,2.9891,2.9832,180,N.A.
13:25 - 13:30,2.9871,0.0039,2.9832,2.9891,2.9832,182,N.A.
13:30 - 13:35,2.9871,0,2.9871,2.9871,2.9852,178,N.A.
13:35 - 13:40,2.9852,-0.0019,2.9871,2.9871,2.9832,170,N.A.
13:40 - 13:45,2.9832,-0.002,2.9852,2.9852,2.9832,173,N.A.
13:45 - 13:50,2.9832,0,2.9832,2.9852,2.9813,176,N.A.
13:50 - 13:55,2.9871,0.0039,2.9852,2.9911,2.9832,167,N.A.
13:55 - 14:00,2.9715,-0.0156,2.9871,2.9891,2.9715,178,N.A.
14:00 - 14:05,2.9676,-0.0039,2.9715,2.9793,2.9441,181,N.A.
14:05 - 14:10,2.9715,0.0039,2.9676,2.9773,2.9617,173,N.A.
14:10 - 14:15,2.9617,-0.0098,2.9715,2.9813,2.9597,176,N.A.
14:15 - 14:20,2.9715,0.0098,2.9617,2.9715,2.9597,179,N.A.
14:20 - 14:25,2.9676,-0.0039,2.9715,2.9754,2.9676,175,N.A.
14:25 - 14:30,2.9597,-0.0079,2.9656,2.9715,2.9597,176,N.A.
14:30 - 14:35,2.9989,0.0392,2.9597,2.9989,2.9578,198,N.A.
14:35 - 14:40,2.9989,0,2.9989,3.0067,2.9773,199,N.A.
14:40 - 14:45,2.9793,-0.0196,2.995,2.9969,2.9734,185,N.A.
14:45 - 14:50,2.9539,-0.0254,2.9793,2.9813,2.9422,208,N.A.
14:50 - 14:55,2.9266,-0.0273,2.9539,2.9539,2.9246,187,N.A.
14:55 - 15:00,2.911,-0.0156,2.9246,2.9285,2.9032,196,N.A.
15:00 - 15:05,2.9188,0.0078,2.9091,2.9266,2.9032,194,N.A.
15:05 - 15:10,2.9091,-0.0097,2.9188,2.9207,2.8994,182,N.A.
15:10 - 15:15,2.9052,-0.0039,2.9091,2.913,2.8974,188,N.A.
15:15 - 15:20,2.9344,0.0292,2.9032,2.9363,2.9032,176,N.A.
15:20 - 15:25,2.9305,-0.0039,2.9344,2.9441,2.9266,180,N.A.
15:25 - 15:30,2.9285,-0.002,2.9305,2.9402,2.9285,178,N.A.
15:30 - 15:35,2.9149,-0.0136,2.9285,2.9344,2.913,179,N.A.
15:35 - 15:40,2.9149,0,2.9149,2.9149,2.9052,171,N.A.
15:40 - 15:45,2.9169,0.002,2.9149,2.9246,2.9149,175,N.A.
15:45 - 15:50,2.9285,0.0116,2.9169,2.9285,2.9169,177,N.A.
15:50 - 15:55,2.9285,0,2.9266,2.9344,2.9207,172,N.A.
15:55 - 16:00,2.913,-0.0155,2.9285,2.9363,2.913,182,N.A.
16:00 - 16:05,2.9149,0.0019,2.9149,2.9207,2.9149,174,N.A.
16:05 - 16:10,2.9149,0,2.9149,2.9227,2.9149,174,N.A.
16:10 - 16:15,2.913,-0.0019,2.9149,2.9169,2.913,175,N.A.
16:15 - 16:20,2.9188,0.0058,2.913,2.9227,2.913,174,N.A.
16:20 - 16:25,2.9285,0.0097,2.9188,2.9305,2.9188,180,N.A.
16:25 - 16:30,2.9363,0.0078,2.9285,2.9383,2.9285,178,N.A.
16:30 - 16:35,2.9363,0,2.9363,2.9383,2.9305,171,N.A.
16:35 - 16:40,2.9383,0.002,2.9383,2.9402,2.9363,181,N.A.
16:40 - 16:45,2.9422,0.0039,2.9383,2.9441,2.9363,175,N.A.
16:45 - 16:50,2.9441,0.0019,2.9422,2.948,2.9422,168,N.A.
16:50 - 16:55,2.9363,-0.0078,2.9441,2.9441,2.9363,161,N.A.
16:55 - 17:00,2.9344,-0.0019,2.9383,2.9383,2.9305,172,N.A.
