Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,1.3712,0.0082,1.363,1.3714,1.3549,1331524,N.A.
01NOV2022_00:00:00.000000,,,,,,,
17:00 - 17:05,1.3629,-0.0001,1.363,1.3637,1.3627,1681,N.A.
17:05 - 17:10,1.3633,0.0004,1.3629,1.3633,1.3629,1963,N.A.
17:10 - 17:15,1.3633,0,1.3633,1.3633,1.3633,2049,N.A.
17:15 - 17:20,1.3632,-0.0001,1.3633,1.3633,1.3632,2147,N.A.
17:20 - 17:25,1.3632,0,1.3632,1.3632,1.3629,2319,N.A.
17:25 - 17:30,1.363,-0.0002,1.3632,1.3632,1.3629,2087,N.A.
17:30 - 17:35,1.3629,-0.0001,1.363,1.363,1.3629,2160,N.A.
17:35 - 17:40,1.363,0.0001,1.3629,1.363,1.3629,2107,N.A.
17:40 - 17:45,1.3629,-0.0001,1.363,1.363,1.3629,2163,N.A.
17:45 - 17:50,1.3631,0.0002,1.3629,1.3632,1.3629,2291,N.A.
17:50 - 17:55,1.3631,0,1.3631,1.3632,1.3631,2217,N.A.
17:55 - 18:00,1.363,-0.0001,1.3631,1.3632,1.363,2269,N.A.
18:00 - 18:05,1.3633,0.0003,1.363,1.3633,1.3629,2606,N.A.
18:05 - 18:10,1.3633,0,1.3633,1.3634,1.3632,2571,N.A.
18:10 - 18:15,1.3634,0.0001,1.3633,1.3634,1.3632,3157,N.A.
18:15 - 18:20,1.3635,0.0001,1.3634,1.3636,1.3633,2920,N.A.
18:20 - 18:25,1.3634,-0.0001,1.3635,1.3635,1.3634,3067,N.A.
18:25 - 18:30,1.3631,-0.0003,1.3634,1.3635,1.3631,2944,N.A.
18:30 - 18:35,1.3633,0.0002,1.3631,1.3635,1.3631,2590,N.A.
18:35 - 18:40,1.3632,-0.0001,1.3633,1.3633,1.3632,2628,N.A.
18:40 - 18:45,1.3631,-0.0001,1.3632,1.3632,1.3631,2440,N.A.
18:45 - 18:50,1.3632,0.0001,1.3631,1.3632,1.3631,2357,N.A.
18:50 - 18:55,1.3633,0.0001,1.3632,1.3633,1.3631,2433,N.A.
18:55 - 19:00,1.3631,-0.0002,1.3633,1.3633,1.363,2797,N.A.
19:00 - 19:05,1.3629,-0.0002,1.3631,1.3632,1.3627,3184,N.A.
19:05 - 19:10,1.3628,-0.0001,1.3629,1.363,1.3627,3124,N.A.
19:10 - 19:15,1.3629,0.0001,1.3628,1.3631,1.3628,2816,N.A.
19:15 - 19:20,1.3626,-0.0003,1.3629,1.363,1.3626,2705,N.A.
19:20 - 19:25,1.3627,0.0001,1.3626,1.3627,1.3625,2854,N.A.
19:25 - 19:30,1.3625,-0.0002,1.3627,1.3627,1.3625,2926,N.A.
19:30 - 19:35,1.3626,0.0001,1.3625,1.3626,1.3624,2957,N.A.
19:35 - 19:40,1.3627,0.0001,1.3626,1.3627,1.3625,2830,N.A.
19:40 - 19:45,1.3626,-0.0001,1.3627,1.3627,1.3624,3290,N.A.
19:45 - 19:50,1.3628,0.0002,1.3626,1.3629,1.3626,3276,N.A.
19:50 - 19:55,1.3626,-0.0002,1.3628,1.3629,1.3626,2978,N.A.
19:55 - 20:00,1.362,-0.0006,1.3626,1.3627,1.3619,3506,N.A.
20:00 - 20:05,1.3622,0.0002,1.362,1.3622,1.3616,4112,N.A.
20:05 - 20:10,1.3627,0.0005,1.3622,1.3627,1.3622,3929,N.A.
20:10 - 20:15,1.3626,-0.0001,1.3627,1.3628,1.3625,3367,N.A.
20:15 - 20:20,1.3626,0,1.3626,1.3626,1.3622,3593,N.A.
20:20 - 20:25,1.3624,-0.0002,1.3626,1.3627,1.3624,3355,N.A.
20:25 - 20:30,1.3623,-0.0001,1.3624,1.3626,1.3623,3641,N.A.
20:30 - 20:35,1.3622,-0.0001,1.3623,1.3624,1.3618,3938,N.A.
20:35 - 20:40,1.3616,-0.0006,1.3622,1.3622,1.3612,5468,N.A.
20:40 - 20:45,1.3618,0.0002,1.3616,1.3619,1.3614,4566,N.A.
20:45 - 20:50,1.3619,0.0001,1.3618,1.3621,1.3615,4726,N.A.
20:50 - 20:55,1.3621,0.0002,1.3619,1.3622,1.3615,5034,N.A.
20:55 - 21:00,1.3617,-0.0004,1.3621,1.3626,1.3617,4746,N.A.
21:00 - 21:05,1.3619,0.0002,1.3617,1.362,1.3616,4612,N.A.
21:05 - 21:10,1.3618,-0.0001,1.3619,1.3621,1.3616,4195,N.A.
21:10 - 21:15,1.3615,-0.0003,1.3618,1.3619,1.3614,4495,N.A.
21:15 - 21:20,1.3617,0.0002,1.3615,1.3617,1.3614,4542,N.A.
21:20 - 21:25,1.3611,-0.0006,1.3617,1.3617,1.361,4626,N.A.
21:25 - 21:30,1.3613,0.0002,1.3611,1.3614,1.3609,4120,N.A.
21:30 - 21:35,1.3616,0.0003,1.3613,1.3619,1.3612,4646,N.A.
21:35 - 21:40,1.3608,-0.0008,1.3616,1.3616,1.3608,4824,N.A.
21:40 - 21:45,1.3611,0.0003,1.3608,1.3611,1.3608,4645,N.A.
21:45 - 21:50,1.3609,-0.0002,1.3611,1.3611,1.3608,4189,N.A.
21:50 - 21:55,1.3608,-0.0001,1.3609,1.3612,1.3608,3837,N.A.
21:55 - 22:00,1.3607,-0.0001,1.3608,1.3609,1.3606,3748,N.A.
22:00 - 22:05,1.361,0.0003,1.3607,1.361,1.3606,3822,N.A.
22:05 - 22:10,1.3616,0.0006,1.361,1.3616,1.3609,4459,N.A.
22:10 - 22:15,1.361,-0.0006,1.3616,1.3616,1.361,4148,N.A.
22:15 - 22:20,1.3609,-0.0001,1.361,1.3612,1.3607,3834,N.A.
22:20 - 22:25,1.3608,-0.0001,1.3609,1.3612,1.3608,3913,N.A.
22:25 - 22:30,1.3607,-0.0001,1.3608,1.3609,1.3605,3954,N.A.
22:30 - 22:35,1.3606,-0.0001,1.3607,1.3608,1.3604,3832,N.A.
22:35 - 22:40,1.3606,0,1.3606,1.3607,1.3604,3705,N.A.
22:40 - 22:45,1.3605,-0.0001,1.3606,1.3607,1.3605,3801,N.A.
22:45 - 22:50,1.3604,-0.0001,1.3605,1.3605,1.3602,3562,N.A.
22:50 - 22:55,1.3602,-0.0002,1.3604,1.3604,1.36,3690,N.A.
22:55 - 23:00,1.3596,-0.0006,1.3602,1.3602,1.3596,4253,N.A.
23:00 - 23:05,1.36,0.0004,1.3596,1.3601,1.3596,4146,N.A.
23:05 - 23:10,1.3598,-0.0002,1.36,1.36,1.3597,4053,N.A.
23:10 - 23:15,1.3597,-0.0001,1.3598,1.3599,1.3597,3961,N.A.
23:15 - 23:20,1.3596,-0.0001,1.3597,1.3598,1.3596,3676,N.A.
23:20 - 23:25,1.3595,-0.0001,1.3596,1.3596,1.3592,4358,N.A.
23:25 - 23:30,1.3594,-0.0001,1.3595,1.3597,1.3591,4401,N.A.
23:30 - 23:35,1.3593,-0.0001,1.3594,1.3594,1.3591,4227,N.A.
23:35 - 23:40,1.3595,0.0002,1.3593,1.3596,1.3592,3914,N.A.
23:40 - 23:45,1.3595,0,1.3595,1.3597,1.3594,3770,N.A.
23:45 - 23:50,1.3597,0.0002,1.3595,1.3598,1.3593,3718,N.A.
23:50 - 23:55,1.3599,0.0002,1.3597,1.3599,1.3596,3774,N.A.
23:55 - 00:00,1.3599,0,1.3599,1.36,1.3598,3468,N.A.
02NOV2022_00:00:00.000000,,,,,,,
00:00 - 00:05,1.3601,0.0002,1.3599,1.3603,1.3598,3590,N.A.
00:05 - 00:10,1.3603,0.0002,1.3601,1.3605,1.3601,3815,N.A.
00:10 - 00:15,1.3602,-0.0001,1.3603,1.3604,1.3601,3287,N.A.
00:15 - 00:20,1.3602,0,1.3602,1.3603,1.3601,3345,N.A.
00:20 - 00:25,1.3605,0.0003,1.3602,1.3605,1.3601,3506,N.A.
00:25 - 00:30,1.3601,-0.0004,1.3605,1.3605,1.3601,3714,N.A.
00:30 - 00:35,1.3602,0.0001,1.3601,1.3604,1.3601,3326,N.A.
00:35 - 00:40,1.3601,-0.0001,1.3602,1.3604,1.3601,3245,N.A.
00:40 - 00:45,1.3603,0.0002,1.3601,1.3603,1.3599,3487,N.A.
00:45 - 00:50,1.3608,0.0005,1.3603,1.361,1.3602,3780,N.A.
00:50 - 00:55,1.3605,-0.0003,1.3608,1.3608,1.3605,3496,N.A.
00:55 - 01:00,1.3605,0,1.3605,1.3606,1.3603,3347,N.A.
01:00 - 01:05,1.3603,-0.0002,1.3605,1.3605,1.3599,3882,N.A.
