Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.9099,-0.0106,0.9205,0.9215,0.9091,891195,N.A.
31JAN2023_00:00:00.000000,,,,,,,
17:00 - 17:05,0.9205,0,0.9205,0.9205,0.9204,1271,N.A.
17:05 - 17:10,0.9204,-0.0001,0.9205,0.9205,0.9204,1674,N.A.
17:10 - 17:15,0.9204,0,0.9204,0.9204,0.9204,2029,N.A.
17:15 - 17:20,0.9204,0,0.9204,0.9204,0.9204,2185,N.A.
17:20 - 17:25,0.9205,0.0001,0.9204,0.9205,0.9204,2286,N.A.
17:25 - 17:30,0.9206,0.0001,0.9205,0.9206,0.9204,2253,N.A.
17:30 - 17:35,0.9206,0,0.9206,0.9206,0.9206,2417,N.A.
17:35 - 17:40,0.9206,0,0.9206,0.9207,0.9206,2366,N.A.
17:40 - 17:45,0.9206,0,0.9206,0.9207,0.9206,2274,N.A.
17:45 - 17:50,0.9206,0,0.9206,0.9207,0.9206,2400,N.A.
17:50 - 17:55,0.9206,0,0.9206,0.9207,0.9206,2549,N.A.
17:55 - 18:00,0.9206,0,0.9206,0.9207,0.9206,2393,N.A.
18:00 - 18:05,0.9206,0,0.9206,0.9207,0.9206,2708,N.A.
18:05 - 18:10,0.9206,0,0.9206,0.9206,0.9206,2374,N.A.
18:10 - 18:15,0.9205,-0.0001,0.9206,0.9206,0.9204,2673,N.A.
18:15 - 18:20,0.9204,-0.0001,0.9205,0.9205,0.9203,2541,N.A.
18:20 - 18:25,0.9205,0.0001,0.9204,0.9205,0.9203,2512,N.A.
18:25 - 18:30,0.9205,0,0.9205,0.9205,0.9204,2411,N.A.
18:30 - 18:35,0.9207,0.0002,0.9205,0.9207,0.9205,2476,N.A.
18:35 - 18:40,0.9207,0,0.9207,0.9207,0.9206,2459,N.A.
18:40 - 18:45,0.9207,0,0.9207,0.9207,0.9206,2404,N.A.
18:45 - 18:50,0.9207,0,0.9207,0.9207,0.9207,2338,N.A.
18:50 - 18:55,0.9207,0,0.9207,0.9207,0.9206,2433,N.A.
18:55 - 19:00,0.9207,0,0.9207,0.9208,0.9207,2409,N.A.
19:00 - 19:05,0.9207,0,0.9207,0.9209,0.9207,2854,N.A.
19:05 - 19:10,0.9208,0.0001,0.9207,0.9209,0.9206,2594,N.A.
19:10 - 19:15,0.9208,0,0.9208,0.9209,0.9208,2592,N.A.
19:15 - 19:20,0.9208,0,0.9208,0.9209,0.9207,2554,N.A.
19:20 - 19:25,0.9206,-0.0002,0.9208,0.9209,0.9206,2582,N.A.
19:25 - 19:30,0.9207,0.0001,0.9206,0.9208,0.9206,2687,N.A.
19:30 - 19:35,0.9205,-0.0002,0.9207,0.9208,0.9205,2558,N.A.
19:35 - 19:40,0.9206,0.0001,0.9205,0.9207,0.9205,2554,N.A.
19:40 - 19:45,0.9205,-0.0001,0.9206,0.9206,0.9205,2384,N.A.
19:45 - 19:50,0.9207,0.0002,0.9205,0.9207,0.9205,2493,N.A.
19:50 - 19:55,0.9205,-0.0002,0.9207,0.9207,0.9205,2654,N.A.
19:55 - 20:00,0.9206,0.0001,0.9205,0.9206,0.9205,2670,N.A.
20:00 - 20:05,0.9207,0.0001,0.9206,0.9208,0.9205,2806,N.A.
20:05 - 20:10,0.9206,-0.0001,0.9207,0.9208,0.9206,2624,N.A.
20:10 - 20:15,0.9207,0.0001,0.9206,0.9208,0.9206,2541,N.A.
20:15 - 20:20,0.9207,0,0.9207,0.9208,0.9206,2562,N.A.
20:20 - 20:25,0.9207,0,0.9207,0.9208,0.9206,2751,N.A.
20:25 - 20:30,0.9208,0.0001,0.9207,0.9209,0.9206,2675,N.A.
20:30 - 20:35,0.9206,-0.0002,0.9208,0.9208,0.9206,2655,N.A.
20:35 - 20:40,0.9207,0.0001,0.9206,0.9208,0.9206,2631,N.A.
20:40 - 20:45,0.9207,0,0.9207,0.9208,0.9206,2562,N.A.
20:45 - 20:50,0.9209,0.0002,0.9207,0.9209,0.9207,2547,N.A.
20:50 - 20:55,0.921,0.0001,0.9209,0.921,0.9209,2678,N.A.
20:55 - 21:00,0.921,0,0.921,0.9211,0.921,2517,N.A.
21:00 - 21:05,0.9212,0.0002,0.921,0.9213,0.921,2590,N.A.
21:05 - 21:10,0.9212,0,0.9212,0.9212,0.9211,2451,N.A.
21:10 - 21:15,0.9212,0,0.9212,0.9212,0.9211,2550,N.A.
21:15 - 21:20,0.9212,0,0.9212,0.9213,0.9212,2519,N.A.
21:20 - 21:25,0.9214,0.0002,0.9212,0.9214,0.9212,2498,N.A.
21:25 - 21:30,0.9212,-0.0002,0.9214,0.9214,0.9212,2570,N.A.
21:30 - 21:35,0.9212,0,0.9212,0.9214,0.9211,2590,N.A.
21:35 - 21:40,0.9214,0.0002,0.9212,0.9215,0.9212,2543,N.A.
21:40 - 21:45,0.9213,-0.0001,0.9214,0.9214,0.9213,2449,N.A.
21:45 - 21:50,0.9214,0.0001,0.9213,0.9215,0.9213,2554,N.A.
21:50 - 21:55,0.9213,-0.0001,0.9214,0.9214,0.9213,2474,N.A.
21:55 - 22:00,0.9213,0,0.9213,0.9214,0.9211,2745,N.A.
22:00 - 22:05,0.9213,0,0.9213,0.9214,0.9213,2613,N.A.
22:05 - 22:10,0.9211,-0.0002,0.9213,0.9213,0.9211,2532,N.A.
22:10 - 22:15,0.9211,0,0.9211,0.9212,0.9211,2599,N.A.
22:15 - 22:20,0.9211,0,0.9211,0.9212,0.9211,2383,N.A.
22:20 - 22:25,0.921,-0.0001,0.9211,0.9211,0.921,2453,N.A.
22:25 - 22:30,0.9208,-0.0002,0.921,0.921,0.9208,2455,N.A.
22:30 - 22:35,0.9209,0.0001,0.9208,0.9209,0.9208,2363,N.A.
22:35 - 22:40,0.9209,0,0.9209,0.921,0.9209,2342,N.A.
22:40 - 22:45,0.9207,-0.0002,0.9209,0.9209,0.9207,2433,N.A.
22:45 - 22:50,0.9206,-0.0001,0.9207,0.9207,0.9206,2445,N.A.
22:50 - 22:55,0.9206,0,0.9206,0.9207,0.9206,2475,N.A.
22:55 - 23:00,0.9206,0,0.9206,0.9207,0.9206,2278,N.A.
23:00 - 23:05,0.9204,-0.0002,0.9206,0.9206,0.9204,2408,N.A.
23:05 - 23:10,0.9204,0,0.9204,0.9204,0.9203,2441,N.A.
23:10 - 23:15,0.9203,-0.0001,0.9204,0.9204,0.9203,2466,N.A.
23:15 - 23:20,0.9202,-0.0001,0.9203,0.9203,0.9202,2428,N.A.
23:20 - 23:25,0.9203,0.0001,0.9202,0.9203,0.9202,2363,N.A.
23:25 - 23:30,0.9202,-0.0001,0.9203,0.9204,0.9202,2543,N.A.
23:30 - 23:35,0.9202,0,0.9202,0.9203,0.9201,2534,N.A.
23:35 - 23:40,0.9202,0,0.9202,0.9203,0.9201,2525,N.A.
23:40 - 23:45,0.9203,0.0001,0.9202,0.9203,0.9201,2642,N.A.
23:45 - 23:50,0.9204,0.0001,0.9203,0.9204,0.9203,2560,N.A.
23:50 - 23:55,0.9203,-0.0001,0.9204,0.9204,0.9203,2499,N.A.
23:55 - 00:00,0.9203,0,0.9203,0.9203,0.9202,2469,N.A.
01FEB2023_00:00:00.000000,,,,,,,
00:00 - 00:05,0.9203,0,0.9203,0.9203,0.9202,2418,N.A.
00:05 - 00:10,0.9201,-0.0002,0.9203,0.9203,0.9201,2484,N.A.
00:10 - 00:15,0.92,-0.0001,0.9201,0.9201,0.92,2324,N.A.
00:15 - 00:20,0.92,0,0.92,0.92,0.9199,2496,N.A.
00:20 - 00:25,0.9201,0.0001,0.92,0.9201,0.92,2455,N.A.
00:25 - 00:30,0.9202,0.0001,0.9201,0.9203,0.9201,2585,N.A.
00:30 - 00:35,0.92,-0.0002,0.9202,0.9203,0.92,2598,N.A.
00:35 - 00:40,0.9201,0.0001,0.92,0.9201,0.92,2515,N.A.
00:40 - 00:45,0.92,-0.0001,0.9201,0.9201,0.9199,2537,N.A.
00:45 - 00:50,0.9196,-0.0004,0.92,0.92,0.9196,2606,N.A.
00:50 - 00:55,0.9197,0.0001,0.9196,0.9198,0.9196,2570,N.A.
00:55 - 01:00,0.9198,0.0001,0.9197,0.9199,0.9197,2584,N.A.
01:00 - 01:05,0.9197,-0.0001,0.9198,0.9199,0.9196,2758,N.A.
01:05 - 01:10,0.9197,0,0.9197,0.9198,0.9195,2627,N.A.
01:10 - 01:15,0.9198,0.0001,0.9197,0.9198,0.9196,2580,N.A.
01:15 - 01:20,0.9197,-0.0001,0.9198,0.9199,0.9197,2556,N.A.
01:20 - 01:25,0.9197,0,0.9197,0.9198,0.9196,2508,N.A.
01:25 - 01:30,0.9197,0,0.9197,0.9197,0.9196,2498,N.A.
01:30 - 01:35,0.9195,-0.0002,0.9197,0.9197,0.9194,2733,N.A.
01:35 - 01:40,0.9194,-0.0001,0.9195,0.9195,0.9194,2625,N.A.
01:40 - 01:45,0.9199,0.0005,0.9194,0.9199,0.9194,2610,N.A.
01:45 - 01:50,0.92,0.0001,0.9199,0.92,0.9196,2810,N.A.
01:50 - 01:55,0.9201,0.0001,0.92,0.9203,0.9199,3042,N.A.
01:55 - 02:00,0.92,-0.0001,0.9201,0.9202,0.9199,2824,N.A.
02:00 - 02:05,0.9197,-0.0003,0.92,0.9201,0.9197,3141,N.A.
02:05 - 02:10,0.9197,0,0.9197,0.9197,0.9195,2890,N.A.
02:10 - 02:15,0.9198,0.0001,0.9197,0.9199,0.9197,2863,N.A.
02:15 - 02:20,0.9193,-0.0005,0.9198,0.9198,0.9192,3048,N.A.
02:20 - 02:25,0.9193,0,0.9193,0.9194,0.9191,3102,N.A.
02:25 - 02:30,0.9193,0,0.9193,0.9195,0.9193,2878,N.A.
02:30 - 02:35,0.9196,0.0003,0.9193,0.9197,0.9193,3077,N.A.
02:35 - 02:40,0.9198,0.0002,0.9196,0.9201,0.9196,3102,N.A.
02:40 - 02:45,0.92,0.0002,0.9198,0.9201,0.9197,2827,N.A.
02:45 - 02:50,0.9201,0.0001,0.92,0.9201,0.9198,2948,N.A.
02:50 - 02:55,0.9197,-0.0004,0.9201,0.9202,0.9197,3305,N.A.
02:55 - 03:00,0.9191,-0.0006,0.9197,0.9197,0.9189,3991,N.A.
03:00 - 03:05,0.9192,0.0001,0.9191,0.9193,0.9188,3977,N.A.
03:05 - 03:10,0.9195,0.0003,0.9192,0.9197,0.9191,3226,N.A.
03:10 - 03:15,0.9196,0.0001,0.9195,0.9196,0.9193,3150,N.A.
03:15 - 03:20,0.9193,-0.0003,0.9196,0.9196,0.9192,3166,N.A.
03:20 - 03:25,0.9193,0,0.9193,0.92,0.9193,3480,N.A.
03:25 - 03:30,0.9192,-0.0001,0.9193,0.9195,0.9192,3163,N.A.
03:30 - 03:35,0.919,-0.0002,0.9192,0.9192,0.9188,3196,N.A.
03:35 - 03:40,0.9188,-0.0002,0.919,0.9191,0.9187,3228,N.A.
