Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,0.7959,-0.0062,0.8021,0.8024,0.7943,1046798,N.A.
02MAY2023_00:00:00.000000,,,,,,,
17:00 - 17:05,0.8022,0.0001,0.8021,0.8024,0.8021,2091,N.A.
17:05 - 17:10,0.802,-0.0002,0.8022,0.8022,0.802,2290,N.A.
17:10 - 17:15,0.8019,-0.0001,0.802,0.8021,0.8019,2349,N.A.
17:15 - 17:20,0.8019,0,0.8019,0.802,0.8019,2297,N.A.
17:20 - 17:25,0.8019,0,0.8019,0.8019,0.8019,2225,N.A.
17:25 - 17:30,0.8019,0,0.8019,0.802,0.8019,2283,N.A.
17:30 - 17:35,0.8019,0,0.8019,0.8019,0.8019,2116,N.A.
17:35 - 17:40,0.8019,0,0.8019,0.8019,0.8019,2103,N.A.
17:40 - 17:45,0.8019,0,0.8019,0.8019,0.8019,2150,N.A.
17:45 - 17:50,0.8019,0,0.8019,0.8021,0.8019,2410,N.A.
17:50 - 17:55,0.8019,0,0.8019,0.8019,0.8019,2227,N.A.
17:55 - 18:00,0.8019,0,0.8019,0.8019,0.8019,2271,N.A.
18:00 - 18:05,0.8019,0,0.8019,0.802,0.8018,2436,N.A.
18:05 - 18:10,0.8019,0,0.8019,0.8019,0.8019,2347,N.A.
18:10 - 18:15,0.8019,0,0.8019,0.8019,0.8018,2424,N.A.
18:15 - 18:20,0.8019,0,0.8019,0.8019,0.8018,3030,N.A.
18:20 - 18:25,0.8019,0,0.8019,0.8019,0.8018,2741,N.A.
18:25 - 18:30,0.8019,0,0.8019,0.8019,0.8018,2722,N.A.
18:30 - 18:35,0.8019,0,0.8019,0.8019,0.8019,2500,N.A.
18:35 - 18:40,0.802,0.0001,0.8019,0.802,0.8018,2618,N.A.
18:40 - 18:45,0.8019,-0.0001,0.8019,0.802,0.8019,2732,N.A.
18:45 - 18:50,0.8019,0,0.8019,0.802,0.8018,2789,N.A.
18:50 - 18:55,0.8019,0,0.8019,0.8019,0.8018,2478,N.A.
18:55 - 19:00,0.8018,-0.0001,0.8019,0.8019,0.8018,2534,N.A.
19:00 - 19:05,0.8017,-0.0001,0.8018,0.8019,0.8017,2720,N.A.
19:05 - 19:10,0.8016,-0.0001,0.8017,0.8017,0.8016,2809,N.A.
19:10 - 19:15,0.8016,0,0.8016,0.8017,0.8015,2621,N.A.
19:15 - 19:20,0.8014,-0.0002,0.8016,0.8016,0.8014,2704,N.A.
19:20 - 19:25,0.8015,0.0001,0.8014,0.8016,0.8014,2844,N.A.
19:25 - 19:30,0.8016,0.0001,0.8015,0.8016,0.8015,2661,N.A.
19:30 - 19:35,0.8015,-0.0001,0.8016,0.8016,0.8015,2716,N.A.
19:35 - 19:40,0.8015,0,0.8015,0.8016,0.8015,2677,N.A.
19:40 - 19:45,0.8015,0,0.8015,0.8016,0.8014,2845,N.A.
19:45 - 19:50,0.8014,-0.0001,0.8015,0.8016,0.8014,2826,N.A.
19:50 - 19:55,0.8015,0.0001,0.8014,0.8015,0.8014,2821,N.A.
19:55 - 20:00,0.8015,0,0.8015,0.8016,0.8015,2721,N.A.
20:00 - 20:05,0.8016,0.0001,0.8015,0.8016,0.8014,3260,N.A.
20:05 - 20:10,0.8016,0,0.8016,0.8017,0.8016,3088,N.A.
20:10 - 20:15,0.8019,0.0003,0.8016,0.802,0.8016,3218,N.A.
20:15 - 20:20,0.8018,-0.0001,0.8019,0.8019,0.8017,3007,N.A.
20:20 - 20:25,0.8016,-0.0002,0.8018,0.8018,0.8016,3088,N.A.
20:25 - 20:30,0.8015,-0.0001,0.8016,0.8017,0.8015,3094,N.A.
20:30 - 20:35,0.8014,-0.0001,0.8015,0.8015,0.8014,3190,N.A.
20:35 - 20:40,0.8012,-0.0002,0.8014,0.8014,0.8012,3357,N.A.
20:40 - 20:45,0.8011,-0.0001,0.8012,0.8013,0.801,3510,N.A.
20:45 - 20:50,0.8011,0,0.8011,0.8012,0.8011,2811,N.A.
20:50 - 20:55,0.8012,0.0001,0.8011,0.8013,0.8011,2982,N.A.
20:55 - 21:00,0.8012,0,0.8012,0.8012,0.8011,2938,N.A.
21:00 - 21:05,0.8013,0.0001,0.8012,0.8013,0.8011,3080,N.A.
