Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,142.89,-2.56,145.45,145.99,142.65,1230803,N.A.
12DEC2023_00:00:00.000000,,,,,,,
17:00 - 17:05,145.56,0.11,145.45,145.57,145.45,959,N.A.
17:05 - 17:10,145.51,-0.05,145.56,145.56,145.49,1627,N.A.
17:10 - 17:15,145.47,-0.04,145.51,145.52,145.46,1745,N.A.
17:15 - 17:20,145.47,0,145.47,145.47,145.46,1661,N.A.
17:20 - 17:25,145.44,-0.03,145.47,145.47,145.44,1824,N.A.
17:25 - 17:30,145.45,0.01,145.44,145.46,145.44,2101,N.A.
17:30 - 17:35,145.45,0,145.45,145.45,145.45,2070,N.A.
17:35 - 17:40,145.44,-0.01,145.45,145.45,145.43,2119,N.A.
17:40 - 17:45,145.45,0.01,145.44,145.46,145.44,2344,N.A.
17:45 - 17:50,145.43,-0.02,145.45,145.47,145.41,2637,N.A.
17:50 - 17:55,145.43,0,145.43,145.45,145.43,2495,N.A.
17:55 - 18:00,145.43,0,145.43,145.44,145.43,2391,N.A.
18:00 - 18:05,145.47,0.04,145.43,145.47,145.41,3141,N.A.
18:05 - 18:10,145.42,-0.05,145.47,145.48,145.42,2663,N.A.
18:10 - 18:15,145.41,-0.01,145.42,145.43,145.41,2824,N.A.
18:15 - 18:20,145.41,0,145.41,145.42,145.4,2841,N.A.
18:20 - 18:25,145.37,-0.04,145.41,145.41,145.35,3271,N.A.
18:25 - 18:30,145.36,-0.01,145.37,145.38,145.36,3075,N.A.
18:30 - 18:35,145.32,-0.04,145.36,145.37,145.32,2743,N.A.
18:35 - 18:40,145.28,-0.04,145.32,145.33,145.24,3468,N.A.
18:40 - 18:45,145.27,-0.01,145.28,145.3,145.26,3249,N.A.
18:45 - 18:50,145.28,0.01,145.27,145.3,145.27,2815,N.A.
18:50 - 18:55,145.21,-0.07,145.28,145.28,145.19,3925,N.A.
18:55 - 19:00,145.27,0.06,145.21,145.3,145.21,3456,N.A.
19:00 - 19:05,145.34,0.07,145.27,145.4,145.27,4192,N.A.
19:05 - 19:10,145.38,0.04,145.34,145.4,145.32,4086,N.A.
19:10 - 19:15,145.38,0,145.38,145.4,145.33,3912,N.A.
19:15 - 19:20,145.38,0,145.38,145.4,145.34,3640,N.A.
19:20 - 19:25,145.5,0.12,145.38,145.53,145.38,4300,N.A.
19:25 - 19:30,145.49,-0.01,145.5,145.52,145.45,4112,N.A.
19:30 - 19:35,145.49,0,145.49,145.53,145.47,3752,N.A.
19:35 - 19:40,145.5,0.01,145.49,145.53,145.48,4136,N.A.
19:40 - 19:45,145.46,-0.04,145.5,145.5,145.46,3746,N.A.
19:45 - 19:50,145.51,0.05,145.46,145.56,145.46,3882,N.A.
19:50 - 19:55,145.6,0.09,145.51,145.6,145.48,4752,N.A.
19:55 - 20:00,145.52,-0.08,145.6,145.6,145.52,4619,N.A.
20:00 - 20:05,145.45,-0.07,145.52,145.52,145.45,4239,N.A.
20:05 - 20:10,145.46,0.01,145.45,145.49,145.43,4031,N.A.
