announcement_date,announcement_time,lower_rate,upper_rate,votes_for,votes_against,policy_concern
1/27/2021,14:00:00,0.00%,0.25%,11,0,
3/17/2021,14:00:00,0.00%,0.25%,11,0,
4/28/2021,14:00:00,0.00%,0.25%,11,0,
6/16/2021,14:00:00,0.00%,0.25%,11,0,
7/28/2021,14:00:00,0.00%,0.25%,11,0,
9/22/2021,14:00:00,0.00%,0.25%,11,0,
11/3/2021,14:00:00,0.00%,0.25%,11,0,
12/15/2021,14:00:00,0.00%,0.25%,11,0,
1/26/2022,14:00:00,0.00%,0.25%,9,0,
3/16/2022,14:00:00,0.25%,0.50%,8,1,
5/4/2022,14:00:00,0.75%,1.00%,9,0,
6/15/2022,14:00:00,1.50%,1.75%,10,1,
7/27/2022,14:00:00,2.25%,2.50%,12,0,
9/21/2022,14:00:00,3.00%,3.25%,12,0,
11/2/2022,14:00:00,3.75%,4.00%,12,0,
12/14/2022,14:00:00,4.25%,4.50%,12,0,
2/1/2023,14:00:00,4.50%,4.75%,12,0,
3/22/2023,14:00:00,4.75%,5.00%,11,0,
5/3/2023,14:00:00,5.00%,5.25%,11,0,
6/14/2023,14:00:00,5.00%,5.25%,11,0,
7/26/2023,14:00:00,5.25%,5.50%,11,0,
9/20/2023,14:00:00,5.25%,5.50%,12,0,
11/1/2023,14:00:00,5.25%,5.50%,12,0,
12/13/2023,14:00:00,5.25%,5.50%,12,0,
1/31/2024,14:00:00,5.25%,5.50%,12,0,
3/20/2024,14:00:00,5.25%,5.50%,12,0,
5/1/2024,14:00:00,5.25%,5.50%,12,0,
6/12/2024,14:00:00,5.25%,5.50%,12,0,
7/31/2024,14:00:00,5.25%,5.50%,12,0,
9/18/2024,14:00:00,4.75%,5.00%,11,1,
11/7/2024,14:00:00,4.50%,4.75%,12,0,
12/18/2024,14:00:00,4.25%,4.50%,11,1,
1/29/2025,14:00:00,4.25%,4.50%,12,0,
3/19/2025,14:00:00,4.25%,4.50%,11,1,
5/7/2025,14:00:00,4.25%,4.50%,12,0,
6/18/2025,14:00:00,4.25%,4.50%,12,0,
7/30/2025,14:00:00,4.25%,4.50%,9,2,
9/17/2025,14:00:00,4.00%,4.25%,11,1,
10/29/2025,14:00:00,3.75%,4.00%,10,2,
12/10/2025,14:00:00,3.50%,3.75%,9,3,
1/28/2026,14:00:00,3.50%,3.75%,10,2,
