Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,3995.32,-24.33,4015.54,4053.76,3965.65,24300,N.A.
14DEC2022_00:00:00.000000,,,,,,,
09:30 - 09:35,4028.82,9.17,4015.54,4028.82,4015.54,300,N.A.
09:35 - 09:40,4030.18,1.36,4029.17,4032.8,4025.71,300,N.A.
09:40 - 09:45,4028.51,-1.67,4030.07,4030.85,4027.15,300,N.A.
09:45 - 09:50,4029.87,1.36,4028.44,4031.04,4025.73,300,N.A.
09:50 - 09:55,4037.31,7.44,4030.23,4038.01,4030.01,300,N.A.
09:55 - 10:00,4039.53,2.22,4037.12,4039.53,4035.18,300,N.A.
10:00 - 10:05,4039.79,0.26,4039.46,4040.29,4035.24,300,N.A.
10:05 - 10:10,4040.13,0.34,4039.96,4041.96,4038.24,300,N.A.
10:10 - 10:15,4042.29,2.16,4040.35,4042.96,4039.99,300,N.A.
10:15 - 10:20,4043.55,1.26,4042.14,4043.72,4040.69,300,N.A.
10:20 - 10:25,4039.12,-4.43,4043.62,4043.73,4038.73,300,N.A.
10:25 - 10:30,4041.46,2.34,4039.21,4043.02,4039.12,300,N.A.
10:30 - 10:35,4039.25,-2.21,4041.23,4041.34,4036.25,300,N.A.
10:35 - 10:40,4037.66,-1.59,4039.24,4040,4036.35,300,N.A.
10:40 - 10:45,4042.81,5.15,4037.58,4044.42,4037.24,300,N.A.
10:45 - 10:50,4043.56,0.75,4042.83,4044.06,4041.88,300,N.A.
10:50 - 10:55,4042.49,-1.07,4043.59,4044.96,4040.87,300,N.A.
10:55 - 11:00,4042.76,0.27,4042.41,4042.91,4040.07,300,N.A.
11:00 - 11:05,4047.58,4.82,4042.8,4049.21,4042.8,300,N.A.
11:05 - 11:10,4042.05,-5.53,4047.45,4047.45,4041.82,300,N.A.
11:10 - 11:15,4044.59,2.54,4041.9,4044.63,4041.35,300,N.A.
11:15 - 11:20,4044.92,0.33,4044.54,4044.92,4042.17,300,N.A.
11:20 - 11:25,4045.84,0.92,4044.87,4046.65,4043.07,300,N.A.
11:25 - 11:30,4048.93,3.09,4045.84,4049.28,4044.57,300,N.A.
11:30 - 11:35,4047.69,-1.24,4048.72,4049.31,4047.49,300,N.A.
11:35 - 11:40,4048.87,1.18,4047.74,4049.35,4046.6,300,N.A.
11:40 - 11:45,4048.48,-0.39,4048.89,4050.38,4048.28,300,N.A.
11:45 - 11:50,4045.44,-3.04,4048.53,4048.53,4045.28,300,N.A.
11:50 - 11:55,4042.96,-2.48,4045.47,4046.02,4042.01,300,N.A.
11:55 - 12:00,4042.24,-0.72,4042.94,4043.81,4041.78,300,N.A.
12:00 - 12:05,4040.8,-1.44,4042.23,4042.24,4040.33,300,N.A.
12:05 - 12:10,4042.57,1.77,4040.83,4042.79,4040.37,300,N.A.
12:10 - 12:15,4040.53,-2.04,4042.4,4042.68,4039.25,300,N.A.
12:15 - 12:20,4040.66,0.13,4040.56,4041.24,4038.37,300,N.A.
12:20 - 12:25,4040.39,-0.27,4040.56,4041.67,4039.07,300,N.A.
12:25 - 12:30,4038.34,-2.05,4040.37,4041.32,4036.7,300,N.A.
12:30 - 12:35,4037.64,-0.7,4038.21,4039.76,4037.02,300,N.A.
12:35 - 12:40,4040.55,2.91,4037.65,4040.7,4036.37,300,N.A.
12:40 - 12:45,4040.49,-0.06,4040.57,4041.25,4038.83,300,N.A.
12:45 - 12:50,4039.28,-1.21,4040.48,4040.48,4038.69,300,N.A.
12:50 - 12:55,4037.02,-2.26,4039.08,4039.15,4036.6,300,N.A.
12:55 - 13:00,4036.01,-1.01,4037.04,4038.22,4036.01,300,N.A.
13:00 - 13:05,4040.55,4.54,4036.08,4040.66,4035.53,300,N.A.
13:05 - 13:10,4041.98,1.43,4040.55,4042.47,4040.55,300,N.A.
13:10 - 13:15,4040.05,-1.93,4041.81,4043.6,4040.02,300,N.A.
13:15 - 13:20,4038.24,-1.81,4040.11,4040.75,4037.03,300,N.A.
13:20 - 13:25,4040.17,1.93,4038.3,4041.73,4038.28,300,N.A.
13:25 - 13:30,4041.34,1.17,4040.07,4042.21,4039.28,300,N.A.
13:30 - 13:35,4045.22,3.88,4041.24,4045.9,4041.23,300,N.A.
13:35 - 13:40,4052.28,7.06,4045.22,4052.34,4045.11,300,N.A.
13:40 - 13:45,4051.73,-0.55,4052.62,4053.05,4049.84,300,N.A.
13:45 - 13:50,4048.61,-3.12,4051.68,4051.94,4048.53,300,N.A.
13:50 - 13:55,4049.26,0.65,4048.59,4049.48,4046.13,300,N.A.
13:55 - 14:00,4048.74,-0.52,4049.08,4053.76,4048.74,300,N.A.
14:00 - 14:05,4012.96,-35.78,4048.75,4048.75,3998.89,300,N.A.
14:05 - 14:10,3994.79,-18.17,4011.06,4012.39,3989.19,300,N.A.
14:10 - 14:15,4004.33,9.54,3993.77,4010.08,3990.45,300,N.A.
14:15 - 14:20,4005.07,0.74,4001.38,4007.35,3999.48,300,N.A.
14:20 - 14:25,4000.85,-4.22,4003.85,4006.5,3998.07,300,N.A.
14:25 - 14:30,4002.81,1.96,4000.77,4007.78,3999.57,300,N.A.
14:30 - 14:35,3965.99,-36.82,4000.71,4004.39,3965.76,300,N.A.
14:35 - 14:40,3979.46,13.47,3965.65,3981.74,3965.65,300,N.A.
14:40 - 14:45,3993,13.54,3980.17,4000.73,3972.36,300,N.A.
14:45 - 14:50,3986.58,-6.42,3992.86,3993.58,3972.34,300,N.A.
14:50 - 14:55,3985.22,-1.36,3986.72,3990.89,3975.77,300,N.A.
14:55 - 15:00,3989.6,4.38,3985.55,3991.58,3980.96,300,N.A.
15:00 - 15:05,4010.38,20.78,3988.93,4011.1,3985.57,300,N.A.
15:05 - 15:10,4006.48,-3.9,4010.16,4010.16,3999.58,300,N.A.
15:10 - 15:15,4026.09,19.61,4006.94,4034.87,4006.54,300,N.A.
15:15 - 15:20,4014.89,-11.2,4027.06,4027.06,4006.3,300,N.A.
15:20 - 15:25,4011.32,-3.57,4015.5,4017.34,4009.55,300,N.A.
15:25 - 15:30,3988.49,-22.83,4011.62,4012.59,3988.49,300,N.A.
15:30 - 15:35,3984.3,-4.19,3987.21,3988.84,3978.56,300,N.A.
15:35 - 15:40,3987.64,3.34,3984.79,3990.93,3978.78,300,N.A.
15:40 - 15:45,3996.84,9.2,3987.09,3996.84,3986.05,300,N.A.
15:45 - 15:50,3995.9,-0.94,3995.88,3998.4,3988.97,300,N.A.
15:50 - 15:55,4004.03,8.13,3996.5,4009.4,3996.5,300,N.A.
15:55 - 16:00,3994.76,-9.27,4002.33,4002.33,3994.76,300,N.A.
16:00 - 16:05,3995.32,0.56,3994.99,3995.32,3994.99,300,N.A.
16:05 - 16:10,3995.32,0,3995.32,3995.32,3995.32,300,N.A.
16:10 - 16:15,3995.32,0,3995.32,3995.32,3995.32,300,N.A.
