Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,14.36,1.05,13.42,14.61,13.18,3053,N.A.
31JAN2024_00:00:00.000000,,,,,,,
03:15 - 03:20,13.41,0.1,13.42,13.42,13.41,20,N.A.
03:20 - 03:25,13.4,-0.01,13.41,13.41,13.4,20,N.A.
03:25 - 03:30,13.4,0,13.4,13.4,13.39,20,N.A.
03:30 - 03:35,13.4,0,13.4,13.4,13.39,20,N.A.
03:35 - 03:40,13.4,0,13.39,13.4,13.39,20,N.A.
03:40 - 03:45,13.4,0,13.4,13.4,13.4,20,N.A.
03:45 - 03:50,13.4,0,13.4,13.41,13.4,20,N.A.
03:50 - 03:55,13.41,0.01,13.41,13.41,13.41,20,N.A.
03:55 - 04:00,13.4,-0.01,13.41,13.41,13.4,20,N.A.
04:00 - 04:05,13.41,0.01,13.41,13.41,13.4,20,N.A.
04:05 - 04:10,13.41,0,13.41,13.42,13.41,20,N.A.
04:10 - 04:15,13.44,0.03,13.42,13.44,13.42,20,N.A.
04:15 - 04:20,13.45,0.01,13.44,13.46,13.44,20,N.A.
04:20 - 04:25,13.48,0.03,13.46,13.48,13.46,20,N.A.
04:25 - 04:30,13.48,0,13.48,13.48,13.48,20,N.A.
04:30 - 04:35,13.5,0.02,13.48,13.5,13.48,20,N.A.
04:35 - 04:40,13.5,0,13.5,13.5,13.49,20,N.A.
04:40 - 04:45,13.5,0,13.5,13.5,13.5,20,N.A.
04:45 - 04:50,13.48,-0.02,13.49,13.49,13.48,20,N.A.
04:50 - 04:55,13.48,0,13.48,13.48,13.48,20,N.A.
04:55 - 05:00,13.49,0.01,13.48,13.49,13.48,20,N.A.
05:00 - 05:05,13.5,0.01,13.49,13.5,13.49,20,N.A.
05:05 - 05:10,13.5,0,13.49,13.5,13.49,20,N.A.
05:10 - 05:15,13.5,0,13.5,13.5,13.49,20,N.A.
05:15 - 05:20,13.51,0.01,13.5,13.51,13.5,20,N.A.
05:20 - 05:25,13.5,-0.01,13.5,13.51,13.5,20,N.A.
05:25 - 05:30,13.51,0.01,13.5,13.51,13.5,20,N.A.
05:30 - 05:35,13.51,0,13.51,13.51,13.51,20,N.A.
05:35 - 05:40,13.51,0,13.51,13.52,13.5,20,N.A.
05:40 - 05:45,13.52,0.01,13.52,13.52,13.52,20,N.A.
05:45 - 05:50,13.47,-0.05,13.51,13.51,13.47,20,N.A.
05:50 - 05:55,13.47,0,13.47,13.47,13.47,20,N.A.
05:55 - 06:00,13.47,0,13.47,13.47,13.47,20,N.A.
06:00 - 06:05,13.48,0.01,13.47,13.49,13.47,20,N.A.
06:05 - 06:10,13.47,-0.01,13.48,13.48,13.47,20,N.A.
06:10 - 06:15,13.47,0,13.47,13.47,13.47,20,N.A.
06:15 - 06:20,13.45,-0.02,13.47,13.47,13.45,20,N.A.
06:20 - 06:25,13.44,-0.01,13.45,13.45,13.44,20,N.A.
06:25 - 06:30,13.45,0.01,13.45,13.45,13.44,20,N.A.
06:30 - 06:35,13.45,0,13.45,13.46,13.45,20,N.A.
06:35 - 06:40,13.46,0.01,13.45,13.46,13.45,20,N.A.
06:40 - 06:45,13.45,-0.01,13.46,13.46,13.45,20,N.A.
06:45 - 06:50,13.45,0,13.46,13.46,13.45,20,N.A.
06:50 - 06:55,13.46,0.01,13.45,13.46,13.45,20,N.A.
06:55 - 07:00,13.45,-0.01,13.46,13.46,13.45,20,N.A.
07:00 - 07:05,13.45,0,13.45,13.45,13.45,20,N.A.
07:05 - 07:10,13.45,0,13.45,13.45,13.45,20,N.A.
07:10 - 07:15,13.46,0.01,13.45,13.46,13.45,20,N.A.
07:15 - 07:20,13.45,-0.01,13.45,13.45,13.45,20,N.A.
07:20 - 07:25,13.42,-0.03,13.44,13.44,13.41,20,N.A.
07:25 - 07:30,13.4,-0.02,13.42,13.42,13.4,20,N.A.
07:30 - 07:35,13.39,-0.01,13.4,13.4,13.38,20,N.A.
07:35 - 07:40,13.4,0.01,13.39,13.4,13.39,20,N.A.
07:40 - 07:45,13.38,-0.02,13.39,13.4,13.38,20,N.A.
07:45 - 07:50,13.37,-0.01,13.38,13.38,13.37,20,N.A.
07:50 - 07:55,13.34,-0.03,13.37,13.37,13.34,20,N.A.
07:55 - 08:00,13.31,-0.03,13.34,13.34,13.31,20,N.A.
08:00 - 08:05,13.31,0,13.31,13.32,13.3,20,N.A.
08:05 - 08:10,13.31,0,13.31,13.32,13.3,20,N.A.
08:10 - 08:15,13.27,-0.04,13.31,13.31,13.27,20,N.A.
08:15 - 08:20,13.24,-0.03,13.29,13.29,13.23,20,N.A.
08:20 - 08:25,13.25,0.01,13.25,13.25,13.25,20,N.A.
08:25 - 08:30,13.25,0,13.25,13.26,13.24,20,N.A.
08:30 - 08:35,13.22,-0.03,13.22,13.22,13.18,20,N.A.
08:35 - 08:40,13.24,0.02,13.21,13.24,13.21,20,N.A.
08:40 - 08:45,13.24,0,13.23,13.24,13.22,20,N.A.
08:45 - 08:50,13.24,0,13.24,13.25,13.23,20,N.A.
08:50 - 08:55,13.24,0,13.24,13.25,13.23,20,N.A.
08:55 - 09:00,13.25,0.01,13.24,13.26,13.24,20,N.A.
09:00 - 09:05,13.26,0.01,13.26,13.27,13.25,20,N.A.
09:05 - 09:10,13.25,-0.01,13.26,13.26,13.25,20,N.A.
09:10 - 09:15,13.23,-0.02,13.25,13.25,13.23,20,N.A.
