Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,1.6427,0.0248,1.6197,1.6868,1.6144,32995,N.A.
16MAR2021_00:00:00.000000,,,,,,,
19:55 - 20:00,1.6197,0.0018,1.6197,1.6197,1.6197,1,N.A.
20:00 - 20:05,1.6214,0.0017,1.6197,1.6214,1.6179,90,N.A.
20:05 - 20:10,1.625,0.0036,1.6214,1.625,1.6214,84,N.A.
20:10 - 20:15,1.6285,0.0035,1.625,1.6302,1.625,86,N.A.
20:15 - 20:20,1.6302,0.0017,1.6285,1.6302,1.6267,122,N.A.
20:20 - 20:25,1.6285,-0.0017,1.6302,1.6302,1.6267,85,N.A.
20:25 - 20:30,1.6267,-0.0018,1.6285,1.6285,1.6267,66,N.A.
20:30 - 20:35,1.6267,0,1.6267,1.6267,1.6267,75,N.A.
20:35 - 20:40,1.6267,0,1.6267,1.6285,1.6267,68,N.A.
20:40 - 20:45,1.6267,0,1.6267,1.6267,1.6267,55,N.A.
20:45 - 20:50,1.6232,-0.0035,1.6267,1.6267,1.6214,84,N.A.
20:50 - 20:55,1.6214,-0.0018,1.6232,1.6232,1.6214,95,N.A.
20:55 - 21:00,1.6197,-0.0017,1.6214,1.625,1.6179,77,N.A.
21:00 - 21:05,1.6214,0.0017,1.6197,1.6214,1.6197,100,N.A.
21:05 - 21:10,1.6197,-0.0017,1.6214,1.6214,1.6197,87,N.A.
21:10 - 21:15,1.6197,0,1.6197,1.6197,1.6179,49,N.A.
21:15 - 21:20,1.6197,0,1.6197,1.6214,1.6197,74,N.A.
21:20 - 21:25,1.6197,0,1.6197,1.6197,1.6179,74,N.A.
21:25 - 21:30,1.6197,0,1.6197,1.6214,1.6197,90,N.A.
21:30 - 21:35,1.6197,0,1.6197,1.6214,1.6197,95,N.A.
21:35 - 21:40,1.6197,0,1.6197,1.6197,1.6197,88,N.A.
21:40 - 21:45,1.6197,0,1.6197,1.6197,1.6179,84,N.A.
21:45 - 21:50,1.6179,-0.0018,1.6197,1.6197,1.6179,105,N.A.
21:50 - 21:55,1.6197,0.0018,1.6197,1.6197,1.6197,75,N.A.
21:55 - 22:00,1.6232,0.0035,1.6197,1.6232,1.6197,70,N.A.
22:00 - 22:05,1.6232,0,1.6232,1.625,1.6232,109,N.A.
22:05 - 22:10,1.6214,-0.0018,1.6232,1.6232,1.6214,69,N.A.
22:10 - 22:15,1.6214,0,1.6232,1.6232,1.6214,60,N.A.
22:15 - 22:20,1.6232,0.0018,1.6214,1.6232,1.6214,51,N.A.
22:20 - 22:25,1.6214,-0.0018,1.6232,1.6232,1.6214,67,N.A.
22:25 - 22:30,1.6197,-0.0017,1.6214,1.6214,1.6197,57,N.A.
22:30 - 22:35,1.6197,0,1.6197,1.6214,1.6197,59,N.A.
22:35 - 22:40,1.6197,0,1.6197,1.6214,1.6197,43,N.A.
22:40 - 22:45,1.6197,0,1.6197,1.6214,1.6197,71,N.A.
22:45 - 22:50,1.6179,-0.0018,1.6197,1.6197,1.6179,64,N.A.
22:50 - 22:55,1.6179,0,1.6179,1.6179,1.6179,58,N.A.
22:55 - 23:00,1.6162,-0.0017,1.6179,1.6179,1.6162,73,N.A.
23:00 - 23:05,1.6162,0,1.6162,1.6162,1.6162,69,N.A.
23:05 - 23:10,1.6162,0,1.6162,1.6162,1.6162,85,N.A.
23:10 - 23:15,1.6162,0,1.6162,1.6179,1.6162,52,N.A.
23:15 - 23:20,1.6162,0,1.6162,1.6162,1.6162,68,N.A.
23:20 - 23:25,1.6162,0,1.6162,1.6179,1.6162,49,N.A.
23:25 - 23:30,1.6162,0,1.6162,1.6162,1.6162,48,N.A.
23:30 - 23:35,1.6162,0,1.6179,1.6179,1.6162,79,N.A.
23:35 - 23:40,1.6162,0,1.6162,1.6162,1.6162,52,N.A.
23:40 - 23:45,1.6162,0,1.6162,1.6162,1.6144,70,N.A.
23:45 - 23:50,1.6179,0.0017,1.6162,1.6179,1.6162,43,N.A.
23:50 - 23:55,1.6162,-0.0017,1.6179,1.6179,1.6162,63,N.A.
23:55 - 00:00,1.6179,0.0017,1.6162,1.6179,1.6162,47,N.A.
17MAR2021_00:00:00.000000,,,,,,,
00:00 - 00:05,1.6144,-0.0035,1.6179,1.6179,1.6144,69,N.A.
00:05 - 00:10,1.6144,0,1.6144,1.6162,1.6144,72,N.A.
00:10 - 00:15,1.6144,0,1.6144,1.6162,1.6144,40,N.A.
00:15 - 00:20,1.6162,0.0018,1.6144,1.6162,1.6144,56,N.A.
00:20 - 00:25,1.6162,0,1.6162,1.6162,1.6162,39,N.A.
00:25 - 00:30,1.6179,0.0017,1.6162,1.6179,1.6162,51,N.A.
00:30 - 00:35,1.6162,-0.0017,1.6179,1.6179,1.6162,38,N.A.
00:35 - 00:40,1.6144,-0.0018,1.6162,1.6162,1.6144,56,N.A.
00:40 - 00:45,1.6162,0.0018,1.6144,1.6162,1.6144,54,N.A.
