rung,model_name,window,pair,mae,rmse,dir_acc,oos_r2,n
Rung 1 – Predict Zero,predict_zero,statement,USDEUR,0.0007443101314279833,0.0009414367527276304,0.04878048780487805,0.0,41.0
Rung 1 – Predict Zero,predict_zero,statement,USDJPY,0.0009303374359364632,0.0012321616935818283,0.0,0.0,41.0
Rung 1 – Predict Zero,predict_zero,statement,USDGBP,0.0007160210396693864,0.000906293020075024,0.07317073170731707,0.0,41.0
Rung 1 – Predict Zero,predict_zero,statement,USDCAD,0.0005606894963601847,0.0007110527586333169,0.04878048780487805,0.0,41.0
Rung 1 – Predict Zero,predict_zero,statement,ALL (pooled),0.0007378395258485044,0.0009658530766003625,0.042682926829268296,0.0,164.0
Rung 1 – Hist Mean,hist_mean,statement,USDEUR,0.0007521026608252756,0.0009353936905423432,0.4634146341463415,0.01279675352593046,41.0
Rung 1 – Hist Mean,hist_mean,statement,USDJPY,0.0009138759878281462,0.0012215690001187223,0.5853658536585366,0.017119768756856946,41.0
Rung 1 – Hist Mean,hist_mean,statement,USDGBP,0.000719156100168182,0.0009061069787464516,0.4146341463414634,0.00041051233856337355,41.0
Rung 1 – Hist Mean,hist_mean,statement,USDCAD,0.0005620652969833987,0.0007108041132921198,0.4634146341463415,0.0006992501308957788,41.0
Rung 1 – Hist Mean,hist_mean,statement,ALL (pooled),0.0007407058376804754,0.0009628408978802774,0.4817073170731707,0.006227617418389841,164.0
Rung 2 – OLS Theory,ols_theory,statement,USDEUR,0.0008299161559518359,0.0010332137504121901,0.525,-0.18707840730365932,40.0
Rung 2 – OLS Theory,ols_theory,statement,USDJPY,0.0010520767788165923,0.0013999565547483323,0.625,-0.25960452855344274,40.0
Rung 2 – OLS Theory,ols_theory,statement,USDGBP,0.000794117895516136,0.0010393416099748244,0.5,-0.2895639595749615,40.0
Rung 2 – OLS Theory,ols_theory,statement,USDCAD,0.0006030236690817309,0.0007764456063732544,0.55,-0.20651092903368173,40.0
Rung 2 – OLS Theory,ols_theory,statement,ALL (pooled),0.000768966069466701,0.0010292825699106817,0.56875,-0.11736054566217158,160.0
Rung 3a – Ridge,ridge,statement,USDEUR,0.0008999747048441206,0.001109555478538072,0.48717948717948717,-0.3387011002195046,39.0
Rung 3a – Ridge,ridge,statement,USDJPY,0.001207121349793765,0.0015728166012590142,0.5128205128205128,-0.574754622852627,39.0
Rung 3a – Ridge,ridge,statement,USDGBP,0.0008474053640149275,0.0011064147460847849,0.5128205128205128,-0.4306539338876665,39.0
Rung 3a – Ridge,ridge,statement,USDCAD,0.0006753365200939926,0.000889009745746661,0.46153846153846156,-0.5625924550305048,39.0
Rung 3a – Ridge,ridge,statement,ALL (pooled),0.0008523505118493783,0.0011434961181831275,0.5128205128205128,-0.35783674827063283,156.0
Rung 3a – LASSO,lasso,statement,USDEUR,0.0007842836890417928,0.0009742874235663937,0.48717948717948717,-0.032190289788637694,39.0
Rung 3a – LASSO,lasso,statement,USDJPY,0.0009495870412429263,0.001270301105448735,0.6153846153846154,-0.02723563065010559,39.0
Rung 3a – LASSO,lasso,statement,USDGBP,0.0007571883183051807,0.0009485039445210254,0.38461538461538464,-0.05142177092210609,39.0
Rung 3a – LASSO,lasso,statement,USDCAD,0.0005702719845659109,0.0007277186578599525,0.48717948717948717,-0.04703138235752191,39.0
Rung 3a – LASSO,lasso,statement,ALL (pooled),0.0007640982519679426,0.0009946987915652205,0.5064102564102564,-0.027451544975654052,156.0
Rung 3a – ElasticNet,elasticnet,statement,USDEUR,0.0007842836890417928,0.0009742874235663937,0.48717948717948717,-0.032190289788637694,39.0
Rung 3a – ElasticNet,elasticnet,statement,USDJPY,0.0009495870412429263,0.001270301105448735,0.6153846153846154,-0.02723563065010559,39.0
Rung 3a – ElasticNet,elasticnet,statement,USDGBP,0.0007571883183051807,0.0009485039445210254,0.38461538461538464,-0.05142177092210609,39.0
Rung 3a – ElasticNet,elasticnet,statement,USDCAD,0.0005702719845659109,0.0007277186578599525,0.48717948717948717,-0.04703138235752191,39.0
Rung 3a – ElasticNet,elasticnet,statement,ALL (pooled),0.0007640982519679426,0.0009946987915652205,0.5064102564102564,-0.027451544975654052,156.0
Rung 3a – Huber,huber,statement,USDEUR,0.0009405275334661421,0.0012596514983106634,0.5384615384615384,-0.725386482361537,39.0
Rung 3a – Huber,huber,statement,USDJPY,0.0011572088887520763,0.001566004099694407,0.5128205128205128,-0.5611423750655204,39.0
Rung 3a – Huber,huber,statement,USDGBP,0.0008321715811293889,0.0011307687205054102,0.46153846153846156,-0.4943291062722208,39.0
Rung 3a – Huber,huber,statement,USDCAD,0.0008186651724377303,0.0014051787972354532,0.5128205128205128,-2.9038745681727844,39.0
Rung 3a – Huber,huber,statement,ALL (pooled),0.0008527360046439908,0.0011551456272355111,0.532051282051282,-0.3856439368210258,156.0
Rung 3b – GBR,gbr,statement,USDEUR,0.0009546503403881042,0.0011605396374877108,0.46153846153846156,-0.46455448198272675,39.0
Rung 3b – GBR,gbr,statement,USDJPY,0.0011329574959560505,0.0015106269127308032,0.5128205128205128,-0.4526840165928381,39.0
Rung 3b – GBR,gbr,statement,USDGBP,0.0008289475733164992,0.0011101913023929134,0.41025641025641024,-0.4404371841011743,39.0
Rung 3b – GBR,gbr,statement,USDCAD,0.0006175072909334742,0.0007752992313876159,0.5384615384615384,-0.18842392403367647,39.0
Rung 3b – GBR,gbr,statement,ALL (pooled),0.0008618909694736915,0.0011278992737315287,0.48717948717948717,-0.3210486235503005,156.0
Rung 4 – +Keywords,rung4_kw,statement,USDEUR,0.0009585503199486683,0.001199049304015993,0.5641025641025641,-0.5633623858272889,39.0
Rung 4 – +Keywords,rung4_kw,statement,USDJPY,0.001296387424194548,0.0017317338073297402,0.48717948717948717,-0.9090574312995923,39.0
Rung 4 – +Keywords,rung4_kw,statement,USDGBP,0.0009547178983801308,0.0012492902699149167,0.358974358974359,-0.8240023675075729,39.0
Rung 4 – +Keywords,rung4_kw,statement,USDCAD,0.0007437359795572218,0.0010008483737117312,0.46153846153846156,-0.9804744992009897,39.0
